Offset,Instruction
00011000,PUSH EBX
00011001,SUB ESP,0x8
00011004,CALL 0x00011930
00011009,ADD EBX,0xafeb
0001100f,MOV EAX,dword ptr [EBX + 0xffffffd8]
00011015,TEST EAX,EAX
00011017,JZ 0x0001101b
00011019,CALL EAX
0001101b,ADD ESP,0x8
0001101e,POP EBX
0001101f,RET
00011020,PUSH dword ptr [EBX + 0x4]
00011026,JMP dword ptr [EBX + 0x8]
00011030,JMP dword ptr [EBX + 0xc]
00011036,PUSH 0x0
0001103b,JMP 0x00011020
00011040,JMP dword ptr [EBX + 0x10]
00011046,PUSH 0x8
0001104b,JMP 0x00011020
00011050,JMP dword ptr [EBX + 0x14]
00011056,PUSH 0x10
0001105b,JMP 0x00011020
00011060,JMP dword ptr [EBX + 0x18]
00011066,PUSH 0x18
0001106b,JMP 0x00011020
00011070,JMP dword ptr [EBX + 0x1c]
00011076,PUSH 0x20
0001107b,JMP 0x00011020
00011080,JMP dword ptr [EBX + 0x20]
00011086,PUSH 0x28
0001108b,JMP 0x00011020
00011090,JMP dword ptr [EBX + 0x24]
00011096,PUSH 0x30
0001109b,JMP 0x00011020
000110a0,JMP dword ptr [EBX + 0x28]
000110a6,PUSH 0x38
000110ab,JMP 0x00011020
000110b0,JMP dword ptr [EBX + 0x2c]
000110b6,PUSH 0x40
000110bb,JMP 0x00011020
000110c0,JMP dword ptr [EBX + 0x30]
000110c6,PUSH 0x48
000110cb,JMP 0x00011020
000110d0,JMP dword ptr [EBX + 0x34]
000110d6,PUSH 0x50
000110db,JMP 0x00011020
000110e0,JMP dword ptr [EBX + 0x38]
000110e6,PUSH 0x58
000110eb,JMP 0x00011020
000110f0,JMP dword ptr [EBX + 0x3c]
000110f6,PUSH 0x60
000110fb,JMP 0x00011020
00011100,JMP dword ptr [EBX + 0x40]
00011106,PUSH 0x68
0001110b,JMP 0x00011020
00011110,JMP dword ptr [EBX + 0x44]
00011116,PUSH 0x70
0001111b,JMP 0x00011020
00011120,JMP dword ptr [EBX + 0x48]
00011126,PUSH 0x78
0001112b,JMP 0x00011020
00011130,JMP dword ptr [EBX + 0x4c]
00011136,PUSH 0x80
0001113b,JMP 0x00011020
00011140,JMP dword ptr [EBX + 0x50]
00011146,PUSH 0x88
0001114b,JMP 0x00011020
00011150,JMP dword ptr [EBX + 0x54]
00011156,PUSH 0x90
0001115b,JMP 0x00011020
00011160,JMP dword ptr [EBX + 0x58]
00011166,PUSH 0x98
0001116b,JMP 0x00011020
00011170,JMP dword ptr [EBX + 0x5c]
00011176,PUSH 0xa0
0001117b,JMP 0x00011020
00011180,JMP dword ptr [EBX + 0x60]
00011186,PUSH 0xa8
0001118b,JMP 0x00011020
00011190,JMP dword ptr [EBX + 0x64]
00011196,PUSH 0xb0
0001119b,JMP 0x00011020
000111a0,JMP dword ptr [EBX + 0x68]
000111a6,PUSH 0xb8
000111ab,JMP 0x00011020
000111b0,JMP dword ptr [EBX + 0x6c]
000111b6,PUSH 0xc0
000111bb,JMP 0x00011020
000111c0,JMP dword ptr [EBX + 0x70]
000111c6,PUSH 0xc8
000111cb,JMP 0x00011020
000111d0,JMP dword ptr [EBX + 0x74]
000111d6,PUSH 0xd0
000111db,JMP 0x00011020
000111e0,JMP dword ptr [EBX + 0x78]
000111e6,PUSH 0xd8
000111eb,JMP 0x00011020
000111f0,JMP dword ptr [EBX + 0x7c]
000111f6,PUSH 0xe0
000111fb,JMP 0x00011020
00011200,JMP dword ptr [EBX + 0x80]
00011206,PUSH 0xe8
0001120b,JMP 0x00011020
00011210,JMP dword ptr [EBX + 0x84]
00011216,PUSH 0xf0
0001121b,JMP 0x00011020
00011220,JMP dword ptr [EBX + 0x88]
00011226,PUSH 0xf8
0001122b,JMP 0x00011020
00011230,JMP dword ptr [EBX + 0x8c]
00011236,PUSH 0x100
0001123b,JMP 0x00011020
00011240,JMP dword ptr [EBX + 0x90]
00011246,PUSH 0x108
0001124b,JMP 0x00011020
00011250,JMP dword ptr [EBX + 0x94]
00011256,PUSH 0x110
0001125b,JMP 0x00011020
00011260,JMP dword ptr [EBX + 0x98]
00011266,PUSH 0x118
0001126b,JMP 0x00011020
00011270,JMP dword ptr [EBX + 0x9c]
00011276,PUSH 0x120
0001127b,JMP 0x00011020
00011280,JMP dword ptr [EBX + 0xa0]
00011286,PUSH 0x128
0001128b,JMP 0x00011020
00011290,JMP dword ptr [EBX + 0xa4]
00011296,PUSH 0x130
0001129b,JMP 0x00011020
000112a0,JMP dword ptr [EBX + 0xa8]
000112a6,PUSH 0x138
000112ab,JMP 0x00011020
000112b0,JMP dword ptr [EBX + 0xac]
000112b6,PUSH 0x140
000112bb,JMP 0x00011020
000112c0,JMP dword ptr [EBX + 0xb0]
000112c6,PUSH 0x148
000112cb,JMP 0x00011020
000112d0,JMP dword ptr [EBX + 0xb4]
000112d6,PUSH 0x150
000112db,JMP 0x00011020
000112e0,JMP dword ptr [EBX + 0xb8]
000112e6,PUSH 0x158
000112eb,JMP 0x00011020
000112f0,JMP dword ptr [EBX + 0xbc]
000112f6,PUSH 0x160
000112fb,JMP 0x00011020
00011300,JMP dword ptr [EBX + 0xc0]
00011306,PUSH 0x168
0001130b,JMP 0x00011020
00011310,JMP dword ptr [EBX + 0xc4]
00011316,PUSH 0x170
0001131b,JMP 0x00011020
00011320,JMP dword ptr [EBX + 0xc8]
00011326,PUSH 0x178
0001132b,JMP 0x00011020
00011330,JMP dword ptr [EBX + 0xcc]
00011336,PUSH 0x180
0001133b,JMP 0x00011020
00011340,JMP dword ptr [EBX + 0xd0]
00011346,PUSH 0x188
0001134b,JMP 0x00011020
00011350,JMP dword ptr [EBX + 0xd4]
00011356,PUSH 0x190
0001135b,JMP 0x00011020
00011360,JMP dword ptr [EBX + 0xfffffff8]
00011380,MOV EAX,dword ptr [ESP + 0x30]
00011384,MOV [0x00000000],EAX
00011389,UD2
00011390,CALL 0x00012471
00011395,ADD EAX,0xac5f
0001139a,LEA ECX,[ESP + 0x4]
0001139e,AND ESP,0xfffffff0
000113a1,MOV EDX,0x58
000113a6,PUSH dword ptr [ECX + -0x4]
000113a9,PUSH EBP
000113aa,MOV EBP,ESP
000113ac,PUSH EDI
000113ad,PUSH ESI
000113ae,PUSH EBX
000113af,MOV EBX,EAX
000113b1,PUSH ECX
000113b2,SUB ESP,0x88
000113b8,MOV dword ptr [EBP + -0x4c],EAX
000113bb,MOV EDI,dword ptr [ECX]
000113bd,MOV dword ptr [EBP + -0x3f],0x6c616370
000113c4,MOV ESI,dword ptr [ECX + 0x4]
000113c7,MOV dword ptr [EBP + -0x3b],0x6d742e63
000113ce,MOV dword ptr [EBP + -0x37],0x58582e70
000113d5,MOV dword ptr [EBP + -0x33],0x58585858
000113dc,MOV byte ptr [EBP + -0x2f],0x0
000113e0,MOV dword ptr [EBP + -0x2e],0x706d742f
000113e7,MOV dword ptr [EBP + -0x2a],0x6163702f
000113ee,MOV dword ptr [EBP + -0x26],0x742e636c
000113f5,MOV dword ptr [EBP + -0x22],0x582e706d
000113fc,MOV dword ptr [EBP + -0x1e],0x58585858
00011403,MOV word ptr [EBP + -0x1a],DX
00011407,MOV dword ptr [EBP + -0x5c],EDI
0001140a,LEA EDI,[EAX + 0xffffa0b6]
00011410,SUB ESP,0x4
00011413,PUSH EDI
00011414,PUSH ESI
00011415,PUSH dword ptr [EBP + -0x5c]
00011418,CALL 0x00011190
0001141d,ADD ESP,0x10
00011420,CMP EAX,-0x1
00011423,JZ 0x00011757
00011429,SUB EAX,0x68
0001142c,CMP EAX,0xe
0001142f,JA 0x00011440
00011431,MOV EDX,dword ptr [EBP + -0x4c]
00011434,MOV ECX,dword ptr [EDX + EAX*0x4 + 0xffffa38c]
0001143b,ADD ECX,EDX
0001143d,JMP ECX
00011440,MOV EAX,dword ptr [EBP + -0x4c]
00011443,MOV EAX,dword ptr [EAX + 0xffffffe0]
00011449,MOV EAX,dword ptr [EAX]
0001144b,LEA ECX,[EAX + -0x2]
0001144e,MOV EAX,dword ptr [ESI]
00011450,MOV EDI,dword ptr [EBP + -0x4c]
00011453,LEA EDX,[ESI + ECX*0x4]
00011456,MOV dword ptr [EDI + 0x3a8],EAX
0001145c,MOV EAX,dword ptr [EDX + 0x4]
0001145f,TEST EAX,EAX
00011461,JZ 0x000116eb
00011467,MOV ESI,dword ptr [EDX + 0x8]
0001146a,TEST ESI,ESI
0001146c,JZ 0x00011670
00011472,MOV EAX,dword ptr [EDX + 0x4]
00011475,CMP byte ptr [EAX],0x40
00011478,JZ 0x00011621
0001147e,SUB ESP,0xc
00011481,LEA ESI,[EBP + -0x3f]
00011484,MOV dword ptr [EBP + -0x68],ECX
00011487,MOV EBX,dword ptr [EBP + -0x4c]
0001148a,MOV dword ptr [EBP + -0x64],EDX
0001148d,PUSH ESI
0001148e,CALL 0x00011130
00011493,ADD ESP,0x10
00011496,MOV EDX,dword ptr [EBP + -0x64]
00011499,MOV dword ptr [EBP + -0x60],ESI
0001149c,CMP EAX,-0x1
0001149f,MOV ECX,dword ptr [EBP + -0x68]
000114a2,MOV EDI,EAX
000114a4,JZ 0x0001170b
000114aa,MOV EAX,dword ptr [EBP + -0x5c]
000114ad,SUB ESP,0xc
000114b0,MOV dword ptr [EBP + -0x6c],EDX
000114b3,MOV ESI,0x1
000114b8,MOV EBX,dword ptr [EBP + -0x4c]
000114bb,SUB EAX,ECX
000114bd,MOV dword ptr [EBP + -0x50],EAX
000114c0,PUSH dword ptr [EBP + -0x60]
000114c3,CALL 0x000111d0
000114c8,POP EAX
000114c9,LEA EAX,[EBX + 0xffffa0e9]
000114cf,POP EDX
000114d0,PUSH EAX
000114d1,PUSH EDI
000114d2,CALL 0x00011110
000114d7,LEA EDI,[EBX + 0x3d0]
000114dd,ADD ESP,0x10
000114e0,CMP dword ptr [EBP + -0x50],0x1
000114e4,MOV EDX,dword ptr [EBP + -0x6c]
000114e7,MOV dword ptr [EDI],EAX
000114e9,LEA EAX,[EBX + 0xffffa0ec]
000114ef,JLE 0x00011521
000114f1,MOV dword ptr [EBP + -0x54],EDX
000114f4,MOV dword ptr [EBP + -0x58],EAX
000114f7,LEA ESI,[ESI]
000114ff,NOP
00011500,MOV EAX,dword ptr [EBP + -0x54]
00011503,SUB ESP,0x4
00011506,MOV EBX,dword ptr [EBP + -0x4c]
00011509,PUSH dword ptr [EAX + ESI*0x4]
0001150c,ADD ESI,0x1
0001150f,PUSH dword ptr [EBP + -0x58]
00011512,PUSH dword ptr [EDI]
00011514,CALL 0x00011250
00011519,ADD ESP,0x10
0001151c,CMP dword ptr [EBP + -0x50],ESI
0001151f,JNZ 0x00011500
00011521,PUSH EBX
00011522,PUSH EBX
00011523,MOV EBX,dword ptr [EBP + -0x4c]
00011526,LEA ESI,[EBX + 0x3d0]
0001152c,PUSH dword ptr [ESI]
0001152e,PUSH 0xa
00011530,CALL 0x00011280
00011535,POP EDI
00011536,PUSH dword ptr [ESI]
00011538,CALL 0x00011090
0001153d,ADD ESP,0x10
00011540,MOV EBX,dword ptr [EBP + -0x4c]
00011543,CALL 0x00014640
00011548,SUB ESP,0xc
0001154b,LEA EAX,[EBX + 0x30c]
00011551,PUSH EAX
00011552,MOV dword ptr [EBP + -0x4c],EBX
00011555,CALL 0x00011180
0001155a,MOV EBX,dword ptr [EBP + -0x4c]
0001155d,POP EAX
0001155e,POP EDX
0001155f,LEA EAX,[EBX + 0xffff5aec]
00011565,PUSH EAX
