Offset,Instruction
00103000,SUB RSP,0x8
00103004,MOV RAX,qword ptr [0x0010cfe8]
0010300b,TEST RAX,RAX
0010300e,JZ 0x00103012
00103010,CALL RAX
00103012,ADD RSP,0x8
00103016,RET
00103020,PUSH qword ptr [0x0010cce8]
00103026,JMP qword ptr [0x0010ccf0]
00103030,JMP qword ptr [0x0010ccf8]
00103036,PUSH 0x0
0010303b,JMP 0x00103020
00103040,JMP qword ptr [0x0010cd00]
00103046,PUSH 0x1
0010304b,JMP 0x00103020
00103050,JMP qword ptr [0x0010cd08]
00103056,PUSH 0x2
0010305b,JMP 0x00103020
00103060,JMP qword ptr [0x0010cd10]
00103066,PUSH 0x3
0010306b,JMP 0x00103020
00103070,JMP qword ptr [0x0010cd18]
00103076,PUSH 0x4
0010307b,JMP 0x00103020
00103080,JMP qword ptr [0x0010cd20]
00103086,PUSH 0x5
0010308b,JMP 0x00103020
00103090,JMP qword ptr [0x0010cd28]
00103096,PUSH 0x6
0010309b,JMP 0x00103020
001030a0,JMP qword ptr [0x0010cd30]
001030a6,PUSH 0x7
001030ab,JMP 0x00103020
001030b0,JMP qword ptr [0x0010cd38]
001030b6,PUSH 0x8
001030bb,JMP 0x00103020
001030c0,JMP qword ptr [0x0010cd40]
001030c6,PUSH 0x9
001030cb,JMP 0x00103020
001030d0,JMP qword ptr [0x0010cd48]
001030d6,PUSH 0xa
001030db,JMP 0x00103020
001030e0,JMP qword ptr [0x0010cd50]
001030e6,PUSH 0xb
001030eb,JMP 0x00103020
001030f0,JMP qword ptr [0x0010cd58]
001030f6,PUSH 0xc
001030fb,JMP 0x00103020
00103100,JMP qword ptr [0x0010cd60]
00103106,PUSH 0xd
0010310b,JMP 0x00103020
00103110,JMP qword ptr [0x0010cd68]
00103116,PUSH 0xe
0010311b,JMP 0x00103020
00103120,JMP qword ptr [0x0010cd70]
00103126,PUSH 0xf
0010312b,JMP 0x00103020
00103130,JMP qword ptr [0x0010cd78]
00103136,PUSH 0x10
0010313b,JMP 0x00103020
00103140,JMP qword ptr [0x0010cd80]
00103146,PUSH 0x11
0010314b,JMP 0x00103020
00103150,JMP qword ptr [0x0010cd88]
00103156,PUSH 0x12
0010315b,JMP 0x00103020
00103160,JMP qword ptr [0x0010cd90]
00103166,PUSH 0x13
0010316b,JMP 0x00103020
00103170,JMP qword ptr [0x0010cd98]
00103176,PUSH 0x14
0010317b,JMP 0x00103020
00103180,JMP qword ptr [0x0010cda0]
00103186,PUSH 0x15
0010318b,JMP 0x00103020
00103190,JMP qword ptr [0x0010cda8]
00103196,PUSH 0x16
0010319b,JMP 0x00103020
001031a0,JMP qword ptr [0x0010cdb0]
001031a6,PUSH 0x17
001031ab,JMP 0x00103020
001031b0,JMP qword ptr [0x0010cdb8]
001031b6,PUSH 0x18
001031bb,JMP 0x00103020
001031c0,JMP qword ptr [0x0010cdc0]
001031c6,PUSH 0x19
001031cb,JMP 0x00103020
001031d0,JMP qword ptr [0x0010cdc8]
001031d6,PUSH 0x1a
001031db,JMP 0x00103020
001031e0,JMP qword ptr [0x0010cdd0]
001031e6,PUSH 0x1b
001031eb,JMP 0x00103020
001031f0,JMP qword ptr [0x0010cdd8]
001031f6,PUSH 0x1c
001031fb,JMP 0x00103020
00103200,JMP qword ptr [0x0010cde0]
00103206,PUSH 0x1d
0010320b,JMP 0x00103020
00103210,JMP qword ptr [0x0010cde8]
00103216,PUSH 0x1e
0010321b,JMP 0x00103020
00103220,JMP qword ptr [0x0010cdf0]
00103226,PUSH 0x1f
0010322b,JMP 0x00103020
00103230,JMP qword ptr [0x0010cdf8]
00103236,PUSH 0x20
0010323b,JMP 0x00103020
00103240,JMP qword ptr [0x0010ce00]
00103246,PUSH 0x21
0010324b,JMP 0x00103020
00103250,JMP qword ptr [0x0010ce08]
00103256,PUSH 0x22
0010325b,JMP 0x00103020
00103260,JMP qword ptr [0x0010ce10]
00103266,PUSH 0x23
0010326b,JMP 0x00103020
00103270,JMP qword ptr [0x0010ce18]
00103276,PUSH 0x24
0010327b,JMP 0x00103020
00103280,JMP qword ptr [0x0010ce20]
00103286,PUSH 0x25
0010328b,JMP 0x00103020
00103290,JMP qword ptr [0x0010ce28]
00103296,PUSH 0x26
0010329b,JMP 0x00103020
001032a0,JMP qword ptr [0x0010ce30]
001032a6,PUSH 0x27
001032ab,JMP 0x00103020
001032b0,JMP qword ptr [0x0010ce38]
001032b6,PUSH 0x28
001032bb,JMP 0x00103020
001032c0,JMP qword ptr [0x0010ce40]
001032c6,PUSH 0x29
001032cb,JMP 0x00103020
001032d0,JMP qword ptr [0x0010ce48]
001032d6,PUSH 0x2a
001032db,JMP 0x00103020
001032e0,JMP qword ptr [0x0010ce50]
001032e6,PUSH 0x2b
001032eb,JMP 0x00103020
001032f0,JMP qword ptr [0x0010ce58]
001032f6,PUSH 0x2c
001032fb,JMP 0x00103020
00103300,JMP qword ptr [0x0010ce60]
00103306,PUSH 0x2d
0010330b,JMP 0x00103020
00103310,JMP qword ptr [0x0010ce68]
00103316,PUSH 0x2e
0010331b,JMP 0x00103020
00103320,JMP qword ptr [0x0010ce70]
00103326,PUSH 0x2f
0010332b,JMP 0x00103020
00103330,JMP qword ptr [0x0010ce78]
00103336,PUSH 0x30
0010333b,JMP 0x00103020
