Offset,Instruction
00103000,SUB RSP,0x8
00103004,MOV RAX,qword ptr [0x00152fd8]
0010300b,TEST RAX,RAX
0010300e,JZ 0x00103012
00103010,CALL RAX
00103012,ADD RSP,0x8
00103016,RET
00103020,PUSH qword ptr [0x00152ff0]
00103026,JMP qword ptr [0x00152ff8]
00103030,JMP qword ptr [0x00153000]
00103036,PUSH 0x0
0010303b,JMP 0x00103020
00103040,JMP qword ptr [0x00153008]
00103046,PUSH 0x1
0010304b,JMP 0x00103020
00103050,JMP qword ptr [0x00153010]
00103056,PUSH 0x2
0010305b,JMP 0x00103020
00103060,JMP qword ptr [0x00153018]
00103066,PUSH 0x3
0010306b,JMP 0x00103020
00103070,JMP qword ptr [0x00153020]
00103076,PUSH 0x4
0010307b,JMP 0x00103020
00103080,JMP qword ptr [0x00153028]
00103086,PUSH 0x5
0010308b,JMP 0x00103020
00103090,JMP qword ptr [0x00153030]
00103096,PUSH 0x6
0010309b,JMP 0x00103020
001030a0,JMP qword ptr [0x00153038]
001030a6,PUSH 0x7
001030ab,JMP 0x00103020
001030b0,JMP qword ptr [0x00153040]
001030b6,PUSH 0x8
001030bb,JMP 0x00103020
001030c0,JMP qword ptr [0x00153048]
001030c6,PUSH 0x9
001030cb,JMP 0x00103020
001030d0,JMP qword ptr [0x00153050]
001030d6,PUSH 0xa
001030db,JMP 0x00103020
001030e0,JMP qword ptr [0x00153058]
001030e6,PUSH 0xb
001030eb,JMP 0x00103020
001030f0,JMP qword ptr [0x00153060]
001030f6,PUSH 0xc
001030fb,JMP 0x00103020
00103100,JMP qword ptr [0x00153068]
00103106,PUSH 0xd
0010310b,JMP 0x00103020
00103110,JMP qword ptr [0x00153070]
00103116,PUSH 0xe
0010311b,JMP 0x00103020
00103120,JMP qword ptr [0x00153078]
00103126,PUSH 0xf
0010312b,JMP 0x00103020
00103130,JMP qword ptr [0x00153080]
00103136,PUSH 0x10
0010313b,JMP 0x00103020
00103140,JMP qword ptr [0x00153088]
00103146,PUSH 0x11
0010314b,JMP 0x00103020
00103150,JMP qword ptr [0x00153090]
00103156,PUSH 0x12
0010315b,JMP 0x00103020
00103160,JMP qword ptr [0x00153098]
00103166,PUSH 0x13
0010316b,JMP 0x00103020
00103170,JMP qword ptr [0x001530a0]
00103176,PUSH 0x14
0010317b,JMP 0x00103020
00103180,JMP qword ptr [0x001530a8]
00103186,PUSH 0x15
0010318b,JMP 0x00103020
00103190,JMP qword ptr [0x001530b0]
00103196,PUSH 0x16
0010319b,JMP 0x00103020
001031a0,JMP qword ptr [0x001530b8]
001031a6,PUSH 0x17
001031ab,JMP 0x00103020
001031b0,JMP qword ptr [0x001530c0]
001031b6,PUSH 0x18
001031bb,JMP 0x00103020
001031c0,JMP qword ptr [0x001530c8]
001031c6,PUSH 0x19
001031cb,JMP 0x00103020
001031d0,JMP qword ptr [0x001530d0]
001031d6,PUSH 0x1a
001031db,JMP 0x00103020
001031e0,JMP qword ptr [0x001530d8]
001031e6,PUSH 0x1b
001031eb,JMP 0x00103020
001031f0,JMP qword ptr [0x001530e0]
001031f6,PUSH 0x1c
001031fb,JMP 0x00103020
00103200,JMP qword ptr [0x001530e8]
00103206,PUSH 0x1d
0010320b,JMP 0x00103020
00103210,JMP qword ptr [0x001530f0]
00103216,PUSH 0x1e
0010321b,JMP 0x00103020
00103220,JMP qword ptr [0x001530f8]
00103226,PUSH 0x1f
0010322b,JMP 0x00103020
00103230,JMP qword ptr [0x00153100]
00103236,PUSH 0x20
0010323b,JMP 0x00103020
00103240,JMP qword ptr [0x00153108]
00103246,PUSH 0x21
0010324b,JMP 0x00103020
00103250,JMP qword ptr [0x00153110]
00103256,PUSH 0x22
0010325b,JMP 0x00103020
00103260,JMP qword ptr [0x00153118]
00103266,PUSH 0x23
0010326b,JMP 0x00103020
00103270,JMP qword ptr [0x00153120]
00103276,PUSH 0x24
0010327b,JMP 0x00103020
00103280,JMP qword ptr [0x00153128]
00103286,PUSH 0x25
0010328b,JMP 0x00103020
00103290,JMP qword ptr [0x00153130]
00103296,PUSH 0x26
0010329b,JMP 0x00103020
001032a0,JMP qword ptr [0x00153138]
001032a6,PUSH 0x27
001032ab,JMP 0x00103020
001032b0,JMP qword ptr [0x00153140]
001032b6,PUSH 0x28
001032bb,JMP 0x00103020
001032c0,JMP qword ptr [0x00153148]
001032c6,PUSH 0x29
001032cb,JMP 0x00103020
001032d0,JMP qword ptr [0x00153150]
001032d6,PUSH 0x2a
001032db,JMP 0x00103020
001032e0,JMP qword ptr [0x00153158]
001032e6,PUSH 0x2b
001032eb,JMP 0x00103020
001032f0,JMP qword ptr [0x00153160]
001032f6,PUSH 0x2c
001032fb,JMP 0x00103020
00103300,JMP qword ptr [0x00153168]
00103306,PUSH 0x2d
0010330b,JMP 0x00103020
00103310,JMP qword ptr [0x00153170]
00103316,PUSH 0x2e
0010331b,JMP 0x00103020
00103320,JMP qword ptr [0x00153178]
00103326,PUSH 0x2f
0010332b,JMP 0x00103020
00103330,JMP qword ptr [0x00153180]
00103336,PUSH 0x30
0010333b,JMP 0x00103020
00103340,JMP qword ptr [0x00153188]
00103346,PUSH 0x31
0010334b,JMP 0x00103020
00103350,JMP qword ptr [0x00153190]
00103356,PUSH 0x32
0010335b,JMP 0x00103020
00103360,JMP qword ptr [0x00153198]
00103366,PUSH 0x33
0010336b,JMP 0x00103020
00103370,JMP qword ptr [0x001531a0]
00103376,PUSH 0x34
0010337b,JMP 0x00103020
00103380,JMP qword ptr [0x001531a8]
00103386,PUSH 0x35
0010338b,JMP 0x00103020
00103390,JMP qword ptr [0x001531b0]
00103396,PUSH 0x36
0010339b,JMP 0x00103020
001033a0,JMP qword ptr [0x001531b8]
001033a6,PUSH 0x37
001033ab,JMP 0x00103020
001033b0,JMP qword ptr [0x001531c0]
001033b6,PUSH 0x38
001033bb,JMP 0x00103020
001033c0,JMP qword ptr [0x001531c8]
001033c6,PUSH 0x39
001033cb,JMP 0x00103020
001033d0,JMP qword ptr [0x001531d0]
001033d6,PUSH 0x3a
001033db,JMP 0x00103020
001033e0,JMP qword ptr [0x001531d8]
001033e6,PUSH 0x3b
001033eb,JMP 0x00103020
001033f0,JMP qword ptr [0x001531e0]
001033f6,PUSH 0x3c
001033fb,JMP 0x00103020
00103400,JMP qword ptr [0x001531e8]
00103406,PUSH 0x3d
0010340b,JMP 0x00103020
00103410,JMP qword ptr [0x001531f0]
00103416,PUSH 0x3e
0010341b,JMP 0x00103020
00103420,JMP qword ptr [0x001531f8]
00103426,PUSH 0x3f
0010342b,JMP 0x00103020
00103430,JMP qword ptr [0x00153200]
00103436,PUSH 0x40
0010343b,JMP 0x00103020
00103440,JMP qword ptr [0x00153208]
00103446,PUSH 0x41
0010344b,JMP 0x00103020
00103450,JMP qword ptr [0x00153210]
00103456,PUSH 0x42
0010345b,JMP 0x00103020
00103460,JMP qword ptr [0x00153218]
00103466,PUSH 0x43
0010346b,JMP 0x00103020
00103470,JMP qword ptr [0x00153220]
00103476,PUSH 0x44
0010347b,JMP 0x00103020
00103480,JMP qword ptr [0x00153228]
00103486,PUSH 0x45
0010348b,JMP 0x00103020
00103490,JMP qword ptr [0x00153230]
00103496,PUSH 0x46
0010349b,JMP 0x00103020
001034a0,JMP qword ptr [0x00153238]
001034a6,PUSH 0x47
001034ab,JMP 0x00103020
001034b0,JMP qword ptr [0x00153240]
001034b6,PUSH 0x48
001034bb,JMP 0x00103020
001034c0,JMP qword ptr [0x00153248]
001034c6,PUSH 0x49
001034cb,JMP 0x00103020
001034d0,JMP qword ptr [0x00153250]
001034d6,PUSH 0x4a
001034db,JMP 0x00103020
001034e0,JMP qword ptr [0x00153258]
001034e6,PUSH 0x4b
001034eb,JMP 0x00103020
001034f0,JMP qword ptr [0x00153260]
001034f6,PUSH 0x4c
001034fb,JMP 0x00103020
00103500,JMP qword ptr [0x00153268]
00103506,PUSH 0x4d
0010350b,JMP 0x00103020
00103510,JMP qword ptr [0x00153270]
00103516,PUSH 0x4e
0010351b,JMP 0x00103020
00103520,JMP qword ptr [0x00153278]
00103526,PUSH 0x4f
0010352b,JMP 0x00103020
00103530,JMP qword ptr [0x00153280]
00103536,PUSH 0x50
0010353b,JMP 0x00103020
00103540,JMP qword ptr [0x00153288]
00103546,PUSH 0x51
0010354b,JMP 0x00103020
00103550,JMP qword ptr [0x00153290]
00103556,PUSH 0x52
0010355b,JMP 0x00103020
00103560,JMP qword ptr [0x00153298]
00103566,PUSH 0x53
0010356b,JMP 0x00103020
00103570,JMP qword ptr [0x001532a0]
00103576,PUSH 0x54
0010357b,JMP 0x00103020
00103580,JMP qword ptr [0x001532a8]
00103586,PUSH 0x55
0010358b,JMP 0x00103020
00103590,JMP qword ptr [0x001532b0]
00103596,PUSH 0x56
0010359b,JMP 0x00103020
001035a0,JMP qword ptr [0x001532b8]
001035a6,PUSH 0x57
001035ab,JMP 0x00103020
001035b0,JMP qword ptr [0x001532c0]
001035b6,PUSH 0x58
001035bb,JMP 0x00103020
001035c0,JMP qword ptr [0x001532c8]
001035c6,PUSH 0x59
001035cb,JMP 0x00103020
001035d0,JMP qword ptr [0x001532d0]
001035d6,PUSH 0x5a
001035db,JMP 0x00103020
001035e0,JMP qword ptr [0x001532d8]
001035e6,PUSH 0x5b
001035eb,JMP 0x00103020
001035f0,JMP qword ptr [0x001532e0]
001035f6,PUSH 0x5c
001035fb,JMP 0x00103020
00103600,JMP qword ptr [0x001532e8]
00103606,PUSH 0x5d
0010360b,JMP 0x00103020
00103610,JMP qword ptr [0x001532f0]
00103616,PUSH 0x5e
0010361b,JMP 0x00103020
00103620,JMP qword ptr [0x001532f8]
00103626,PUSH 0x5f
0010362b,JMP 0x00103020
00103630,JMP qword ptr [0x00153300]
00103636,PUSH 0x60
0010363b,JMP 0x00103020
00103640,JMP qword ptr [0x00153308]
00103646,PUSH 0x61
0010364b,JMP 0x00103020
00103650,JMP qword ptr [0x00152fc0]
00103680,MOV RAX,qword ptr [RSP + 0x28]
00103685,SUB RAX,qword ptr FS:[0x28]
0010368e,JNZ 0x00103695
00103690,CALL 0x00103130
00103695,CALL 0x00103360
0010369a,MOV RDI,R13
0010369d,CALL 0x0010e7d0
001036a2,MOV RDI,RBP
001036a5,MOV ESI,0x28
001036aa,CALL 0x00103310
001036af,MOV RDI,RBX
001036b2,CALL 0x001035d0
001036b7,MOV RDI,R13
001036ba,CALL 0x0010e7d0
001036bf,MOV RDI,RBP
001036c2,MOV ESI,0x30
001036c7,CALL 0x00103310
001036cc,MOV RDI,RBX
001036cf,CALL 0x001035d0
001036d4,MOV RDI,RBP
001036d7,CALL 0x0010e7d0
001036dc,MOV RAX,qword ptr [RSP + 0x28]
001036e1,SUB RAX,qword ptr FS:[0x28]
001036ea,JNZ 0x00103714
001036ec,MOV RDI,RBX
001036ef,CALL 0x001035d0
001036f4,MOV RDI,RBP
001036f7,CALL 0x0010e7d0
001036fc,MOV RAX,qword ptr [RSP + 0x28]
00103701,SUB RAX,qword ptr FS:[0x28]
0010370a,JNZ 0x00103719
0010370c,MOV RDI,RBX
0010370f,CALL 0x001035d0
00103714,CALL 0x00103360
00103719,CALL 0x00103360
0010371e,LEA RDI,[0x14cf6d]
00103725,CALL 0x001032a0
0010372a,MOV EDI,0x1
0010372f,CALL 0x001033d0
00103734,MOV RDI,R13
00103737,CALL 0x0010e7d0
0010373c,LEA RDI,[RSP + 0x30]
00103741,CALL 0x0010e7d0
00103746,MOV RAX,qword ptr [RSP + 0x58]
0010374b,SUB RAX,qword ptr FS:[0x28]
00103754,JNZ 0x00103768
00103756,MOV RDI,RBX
00103759,CALL 0x001035d0
0010375e,MOV RDI,RSP
00103761,CALL 0x0010e7d0
00103766,JMP 0x0010373c
00103768,CALL 0x00103360
0010376d,NOP
0010376e,MOV RDI,R13
00103771,CALL 0x0010e7d0
00103776,LEA RDI,[RSP + 0x28]
0010377b,CALL 0x0010e7d0
00103780,MOV RAX,qword ptr [RSP + 0x48]
00103785,SUB RAX,qword ptr FS:[0x28]
0010378e,JNZ 0x001037a2
00103790,MOV RDI,RBX
00103793,CALL 0x001035d0
00103798,MOV RDI,RSP
0010379b,CALL 0x0010e7d0
001037a0,JMP 0x00103776
001037a2,CALL 0x00103360
001037a7,MOV RDI,R12
001037aa,CALL 0x0010e7d0
001037af,MOV RDI,qword ptr [RSP + 0x20]
001037b4,CALL 0x0010e960
001037b9,MOV RDI,qword ptr [RSP + 0x8]
001037be,CALL 0x0010e800
001037c3,MOV RAX,qword ptr [RSP + 0x138]
001037cb,SUB RAX,qword ptr FS:[0x28]
001037d4,JNZ 0x001037e8
001037d6,MOV RDI,RBX
001037d9,CALL 0x001035d0
001037de,MOV RDI,R12
001037e1,CALL 0x0010e7d0
001037e6,JMP 0x001037af
001037e8,CALL 0x00103360
001037ed,MOV RDX,qword ptr [RSP + 0x48]
001037f2,SUB RDX,qword ptr FS:[0x28]
001037fb,JNZ 0x00103841
001037fd,MOV EDI,EAX
001037ff,CALL 0x00103240
00103804,ENDBR64
00103808,MOV RBX,RAX
0010380b,JMP 0x00103815
0010380d,MOV RDI,R13
00103810,CALL 0x0010f1e0
00103815,MOV RBP,qword ptr [RSP + 0x10]
0010381a,CMP RBP,R12
0010381d,JNZ 0x0010387c
0010381f,MOV RSI,qword ptr [RSP + 0x18]
00103824,MOV RAX,qword ptr [RSP + 0x10]
00103829,SUB RSI,RAX
0010382c,TEST RAX,RAX
0010382f,JNZ 0x0010389f
00103831,MOV RAX,qword ptr [RSP + 0x48]
00103836,SUB RAX,qword ptr FS:[0x28]
0010383f,JZ 0x001038a9
00103841,CALL 0x00103360
00103846,MOV RAX,qword ptr [RSP + 0x48]
0010384b,SUB RAX,qword ptr FS:[0x28]
00103854,JNZ 0x00103841
00103856,LEA RDI,[0x14cf89]
0010385d,CALL 0x001031c0
00103862,ENDBR64
00103866,MOV RBX,RAX
00103869,XOR ECX,ECX
0010386b,XOR EAX,EAX
0010386d,XOR R12D,R12D
00103870,MOV qword ptr [RSP + 0x18],RAX
00103875,MOV qword ptr [RSP + 0x10],RCX
0010387a,JMP 0x00103815
0010387c,MOV RDI,qword ptr [RBP + 0x10]
00103880,LEA RAX,[RBP + 0x20]
00103884,CMP RDI,RAX
00103887,JZ 0x00103896
00103889,MOV RAX,qword ptr [RBP + 0x20]
