Offset,Instruction
00106000,SUB RSP,0x8
00106004,MOV RAX,qword ptr [0x00146fe8]
0010600b,TEST RAX,RAX
0010600e,JZ 0x00106012
00106010,CALL RAX
00106012,ADD RSP,0x8
00106016,RET
00106020,PUSH qword ptr [0x00146ae8]
00106026,JMP qword ptr [0x00146af0]
00106030,JMP qword ptr [0x00146af8]
00106036,PUSH 0x0
0010603b,JMP 0x00106020
00106040,JMP qword ptr [0x00146b00]
00106046,PUSH 0x1
0010604b,JMP 0x00106020
00106050,JMP qword ptr [0x00146b08]
00106056,PUSH 0x2
0010605b,JMP 0x00106020
00106060,JMP qword ptr [0x00146b10]
00106066,PUSH 0x3
0010606b,JMP 0x00106020
00106070,JMP qword ptr [0x00146b18]
00106076,PUSH 0x4
0010607b,JMP 0x00106020
00106080,JMP qword ptr [0x00146b20]
00106086,PUSH 0x5
0010608b,JMP 0x00106020
00106090,JMP qword ptr [0x00146b28]
00106096,PUSH 0x6
0010609b,JMP 0x00106020
001060a0,JMP qword ptr [0x00146b30]
001060a6,PUSH 0x7
001060ab,JMP 0x00106020
001060b0,JMP qword ptr [0x00146b38]
001060b6,PUSH 0x8
001060bb,JMP 0x00106020
001060c0,JMP qword ptr [0x00146b40]
001060c6,PUSH 0x9
001060cb,JMP 0x00106020
001060d0,JMP qword ptr [0x00146b48]
001060d6,PUSH 0xa
001060db,JMP 0x00106020
001060e0,JMP qword ptr [0x00146b50]
001060e6,PUSH 0xb
001060eb,JMP 0x00106020
001060f0,JMP qword ptr [0x00146b58]
001060f6,PUSH 0xc
001060fb,JMP 0x00106020
00106100,JMP qword ptr [0x00146b60]
00106106,PUSH 0xd
0010610b,JMP 0x00106020
00106110,JMP qword ptr [0x00146b68]
00106116,PUSH 0xe
0010611b,JMP 0x00106020
00106120,JMP qword ptr [0x00146b70]
00106126,PUSH 0xf
0010612b,JMP 0x00106020
00106130,JMP qword ptr [0x00146b78]
00106136,PUSH 0x10
0010613b,JMP 0x00106020
00106140,JMP qword ptr [0x00146b80]
00106146,PUSH 0x11
0010614b,JMP 0x00106020
00106150,JMP qword ptr [0x00146b88]
00106156,PUSH 0x12
0010615b,JMP 0x00106020
00106160,JMP qword ptr [0x00146b90]
00106166,PUSH 0x13
0010616b,JMP 0x00106020
00106170,JMP qword ptr [0x00146b98]
00106176,PUSH 0x14
0010617b,JMP 0x00106020
00106180,JMP qword ptr [0x00146ba0]
00106186,PUSH 0x15
0010618b,JMP 0x00106020
00106190,JMP qword ptr [0x00146ba8]
00106196,PUSH 0x16
0010619b,JMP 0x00106020
001061a0,JMP qword ptr [0x00146bb0]
001061a6,PUSH 0x17
001061ab,JMP 0x00106020
001061b0,JMP qword ptr [0x00146bb8]
001061b6,PUSH 0x18
001061bb,JMP 0x00106020
001061c0,JMP qword ptr [0x00146bc0]
001061c6,PUSH 0x19
001061cb,JMP 0x00106020
001061d0,JMP qword ptr [0x00146bc8]
001061d6,PUSH 0x1a
001061db,JMP 0x00106020
001061e0,JMP qword ptr [0x00146bd0]
001061e6,PUSH 0x1b
001061eb,JMP 0x00106020
001061f0,JMP qword ptr [0x00146bd8]
001061f6,PUSH 0x1c
001061fb,JMP 0x00106020
00106200,JMP qword ptr [0x00146be0]
00106206,PUSH 0x1d
0010620b,JMP 0x00106020
00106210,JMP qword ptr [0x00146be8]
00106216,PUSH 0x1e
0010621b,JMP 0x00106020
00106220,JMP qword ptr [0x00146bf0]
00106226,PUSH 0x1f
0010622b,JMP 0x00106020
00106230,JMP qword ptr [0x00146bf8]
00106236,PUSH 0x20
0010623b,JMP 0x00106020
00106240,JMP qword ptr [0x00146c00]
00106246,PUSH 0x21
0010624b,JMP 0x00106020
00106250,JMP qword ptr [0x00146c08]
00106256,PUSH 0x22
0010625b,JMP 0x00106020
00106260,JMP qword ptr [0x00146c10]
00106266,PUSH 0x23
0010626b,JMP 0x00106020
00106270,JMP qword ptr [0x00146c18]
00106276,PUSH 0x24
0010627b,JMP 0x00106020
00106280,JMP qword ptr [0x00146c20]
00106286,PUSH 0x25
0010628b,JMP 0x00106020
00106290,JMP qword ptr [0x00146c28]
00106296,PUSH 0x26
0010629b,JMP 0x00106020
001062a0,JMP qword ptr [0x00146c30]
001062a6,PUSH 0x27
001062ab,JMP 0x00106020
001062b0,JMP qword ptr [0x00146c38]
001062b6,PUSH 0x28
001062bb,JMP 0x00106020
001062c0,JMP qword ptr [0x00146c40]
001062c6,PUSH 0x29
001062cb,JMP 0x00106020
001062d0,JMP qword ptr [0x00146c48]
001062d6,PUSH 0x2a
001062db,JMP 0x00106020
001062e0,JMP qword ptr [0x00146c50]
001062e6,PUSH 0x2b
001062eb,JMP 0x00106020
001062f0,JMP qword ptr [0x00146c58]
001062f6,PUSH 0x2c
001062fb,JMP 0x00106020
00106300,JMP qword ptr [0x00146c60]
00106306,PUSH 0x2d
0010630b,JMP 0x00106020
00106310,JMP qword ptr [0x00146c68]
00106316,PUSH 0x2e
0010631b,JMP 0x00106020
00106320,JMP qword ptr [0x00146c70]
00106326,PUSH 0x2f
0010632b,JMP 0x00106020
00106330,JMP qword ptr [0x00146c78]
00106336,PUSH 0x30
0010633b,JMP 0x00106020
00106340,JMP qword ptr [0x00146c80]
00106346,PUSH 0x31
0010634b,JMP 0x00106020
00106350,JMP qword ptr [0x00146c88]
00106356,PUSH 0x32
0010635b,JMP 0x00106020
00106360,JMP qword ptr [0x00146c90]
00106366,PUSH 0x33
0010636b,JMP 0x00106020
00106370,JMP qword ptr [0x00146c98]
00106376,PUSH 0x34
0010637b,JMP 0x00106020
00106380,JMP qword ptr [0x00146ca0]
00106386,PUSH 0x35
0010638b,JMP 0x00106020
00106390,JMP qword ptr [0x00146ca8]
00106396,PUSH 0x36
0010639b,JMP 0x00106020
001063a0,JMP qword ptr [0x00146cb0]
001063a6,PUSH 0x37
001063ab,JMP 0x00106020
001063b0,JMP qword ptr [0x00146cb8]
001063b6,PUSH 0x38
001063bb,JMP 0x00106020
001063c0,JMP qword ptr [0x00146cc0]
001063c6,PUSH 0x39
001063cb,JMP 0x00106020
001063d0,JMP qword ptr [0x00146cc8]
001063d6,PUSH 0x3a
001063db,JMP 0x00106020
001063e0,JMP qword ptr [0x00146cd0]
001063e6,PUSH 0x3b
001063eb,JMP 0x00106020
001063f0,JMP qword ptr [0x00146cd8]
001063f6,PUSH 0x3c
001063fb,JMP 0x00106020
00106400,JMP qword ptr [0x00146ce0]
00106406,PUSH 0x3d
0010640b,JMP 0x00106020
00106410,JMP qword ptr [0x00146ce8]
00106416,PUSH 0x3e
0010641b,JMP 0x00106020
00106420,JMP qword ptr [0x00146cf0]
00106426,PUSH 0x3f
0010642b,JMP 0x00106020
00106430,JMP qword ptr [0x00146cf8]
00106436,PUSH 0x40
0010643b,JMP 0x00106020
00106440,JMP qword ptr [0x00146d00]
00106446,PUSH 0x41
0010644b,JMP 0x00106020
00106450,JMP qword ptr [0x00146d08]
00106456,PUSH 0x42
0010645b,JMP 0x00106020
00106460,JMP qword ptr [0x00146d10]
00106466,PUSH 0x43
0010646b,JMP 0x00106020
00106470,JMP qword ptr [0x00146d18]
00106476,PUSH 0x44
0010647b,JMP 0x00106020
00106480,JMP qword ptr [0x00146d20]
00106486,PUSH 0x45
0010648b,JMP 0x00106020
00106490,JMP qword ptr [0x00146d28]
00106496,PUSH 0x46
0010649b,JMP 0x00106020
001064a0,JMP qword ptr [0x00146d30]
001064a6,PUSH 0x47
001064ab,JMP 0x00106020
001064b0,JMP qword ptr [0x00146d38]
001064b6,PUSH 0x48
001064bb,JMP 0x00106020
001064c0,JMP qword ptr [0x00146d40]
001064c6,PUSH 0x49
001064cb,JMP 0x00106020
001064d0,JMP qword ptr [0x00146d48]
001064d6,PUSH 0x4a
001064db,JMP 0x00106020
001064e0,JMP qword ptr [0x00146d50]
001064e6,PUSH 0x4b
001064eb,JMP 0x00106020
001064f0,JMP qword ptr [0x00146d58]
001064f6,PUSH 0x4c
001064fb,JMP 0x00106020
00106500,JMP qword ptr [0x00146d60]
00106506,PUSH 0x4d
0010650b,JMP 0x00106020
00106510,JMP qword ptr [0x00146d68]
00106516,PUSH 0x4e
0010651b,JMP 0x00106020
00106520,JMP qword ptr [0x00146d70]
00106526,PUSH 0x4f
0010652b,JMP 0x00106020
00106530,JMP qword ptr [0x00146d78]
00106536,PUSH 0x50
0010653b,JMP 0x00106020
00106540,JMP qword ptr [0x00146d80]
00106546,PUSH 0x51
0010654b,JMP 0x00106020
00106550,JMP qword ptr [0x00146d88]
00106556,PUSH 0x52
0010655b,JMP 0x00106020
00106560,JMP qword ptr [0x00146d90]
00106566,PUSH 0x53
0010656b,JMP 0x00106020
00106570,JMP qword ptr [0x00146d98]
00106576,PUSH 0x54
0010657b,JMP 0x00106020
00106580,JMP qword ptr [0x00146da0]
00106586,PUSH 0x55
0010658b,JMP 0x00106020
00106590,JMP qword ptr [0x00146da8]
00106596,PUSH 0x56
0010659b,JMP 0x00106020
001065a0,JMP qword ptr [0x00146db0]
001065a6,PUSH 0x57
001065ab,JMP 0x00106020
001065b0,JMP qword ptr [0x00146db8]
001065b6,PUSH 0x58
001065bb,JMP 0x00106020
001065c0,JMP qword ptr [0x00146dc0]
001065c6,PUSH 0x59
001065cb,JMP 0x00106020
001065d0,JMP qword ptr [0x00146dc8]
001065d6,PUSH 0x5a
001065db,JMP 0x00106020
001065e0,JMP qword ptr [0x00146dd0]
001065e6,PUSH 0x5b
001065eb,JMP 0x00106020
001065f0,JMP qword ptr [0x00146dd8]
001065f6,PUSH 0x5c
001065fb,JMP 0x00106020
00106600,JMP qword ptr [0x00146de0]
00106606,PUSH 0x5d
0010660b,JMP 0x00106020
00106610,JMP qword ptr [0x00146de8]
00106616,PUSH 0x5e
0010661b,JMP 0x00106020
00106620,JMP qword ptr [0x00146df0]
00106626,PUSH 0x5f
0010662b,JMP 0x00106020
00106630,JMP qword ptr [0x00146df8]
