Offset,Instruction
00106000,SUB RSP,0x8
00106004,MOV RAX,qword ptr [0x00137f38]
0010600b,TEST RAX,RAX
0010600e,JZ 0x00106012
00106010,CALL RAX
00106012,ADD RSP,0x8
00106016,RET
00106020,PUSH qword ptr [0x00137a78]
00106026,JMP qword ptr [0x00137a80]
00106030,JMP qword ptr [0x00137a88]
00106036,PUSH 0x0
0010603b,JMP 0x00106020
00106040,JMP qword ptr [0x00137a90]
00106046,PUSH 0x1
0010604b,JMP 0x00106020
00106050,JMP qword ptr [0x00137a98]
00106056,PUSH 0x2
0010605b,JMP 0x00106020
00106060,JMP qword ptr [0x00137aa0]
00106066,PUSH 0x3
0010606b,JMP 0x00106020
00106070,JMP qword ptr [0x00137aa8]
00106076,PUSH 0x4
0010607b,JMP 0x00106020
00106080,JMP qword ptr [0x00137ab0]
00106086,PUSH 0x5
0010608b,JMP 0x00106020
00106090,JMP qword ptr [0x00137ab8]
00106096,PUSH 0x6
0010609b,JMP 0x00106020
001060a0,JMP qword ptr [0x00137ac0]
001060a6,PUSH 0x7
001060ab,JMP 0x00106020
001060b0,JMP qword ptr [0x00137ac8]
001060b6,PUSH 0x8
001060bb,JMP 0x00106020
001060c0,JMP qword ptr [0x00137ad0]
001060c6,PUSH 0x9
001060cb,JMP 0x00106020
001060d0,JMP qword ptr [0x00137ad8]
001060d6,PUSH 0xa
001060db,JMP 0x00106020
001060e0,JMP qword ptr [0x00137ae0]
001060e6,PUSH 0xb
001060eb,JMP 0x00106020
001060f0,JMP qword ptr [0x00137ae8]
001060f6,PUSH 0xc
001060fb,JMP 0x00106020
00106100,JMP qword ptr [0x00137af0]
00106106,PUSH 0xd
0010610b,JMP 0x00106020
00106110,JMP qword ptr [0x00137af8]
00106116,PUSH 0xe
0010611b,JMP 0x00106020
00106120,JMP qword ptr [0x00137b00]
00106126,PUSH 0xf
0010612b,JMP 0x00106020
00106130,JMP qword ptr [0x00137b08]
00106136,PUSH 0x10
0010613b,JMP 0x00106020
00106140,JMP qword ptr [0x00137b10]
00106146,PUSH 0x11
0010614b,JMP 0x00106020
00106150,JMP qword ptr [0x00137b18]
00106156,PUSH 0x12
0010615b,JMP 0x00106020
00106160,JMP qword ptr [0x00137b20]
00106166,PUSH 0x13
0010616b,JMP 0x00106020
00106170,JMP qword ptr [0x00137b28]
00106176,PUSH 0x14
0010617b,JMP 0x00106020
00106180,JMP qword ptr [0x00137b30]
00106186,PUSH 0x15
0010618b,JMP 0x00106020
00106190,JMP qword ptr [0x00137b38]
00106196,PUSH 0x16
0010619b,JMP 0x00106020
001061a0,JMP qword ptr [0x00137b40]
001061a6,PUSH 0x17
001061ab,JMP 0x00106020
001061b0,JMP qword ptr [0x00137b48]
001061b6,PUSH 0x18
001061bb,JMP 0x00106020
001061c0,JMP qword ptr [0x00137b50]
001061c6,PUSH 0x19
001061cb,JMP 0x00106020
001061d0,JMP qword ptr [0x00137b58]
001061d6,PUSH 0x1a
001061db,JMP 0x00106020
001061e0,JMP qword ptr [0x00137b60]
001061e6,PUSH 0x1b
001061eb,JMP 0x00106020
001061f0,JMP qword ptr [0x00137b68]
001061f6,PUSH 0x1c
001061fb,JMP 0x00106020
00106200,JMP qword ptr [0x00137b70]
00106206,PUSH 0x1d
0010620b,JMP 0x00106020
00106210,JMP qword ptr [0x00137b78]
00106216,PUSH 0x1e
0010621b,JMP 0x00106020
00106220,JMP qword ptr [0x00137b80]
00106226,PUSH 0x1f
0010622b,JMP 0x00106020
00106230,JMP qword ptr [0x00137b88]
00106236,PUSH 0x20
0010623b,JMP 0x00106020
00106240,JMP qword ptr [0x00137b90]
00106246,PUSH 0x21
0010624b,JMP 0x00106020
00106250,JMP qword ptr [0x00137b98]
00106256,PUSH 0x22
0010625b,JMP 0x00106020
00106260,JMP qword ptr [0x00137ba0]
00106266,PUSH 0x23
0010626b,JMP 0x00106020
00106270,JMP qword ptr [0x00137ba8]
00106276,PUSH 0x24
0010627b,JMP 0x00106020
00106280,JMP qword ptr [0x00137bb0]
00106286,PUSH 0x25
0010628b,JMP 0x00106020
00106290,JMP qword ptr [0x00137bb8]
00106296,PUSH 0x26
0010629b,JMP 0x00106020
001062a0,JMP qword ptr [0x00137bc0]
001062a6,PUSH 0x27
001062ab,JMP 0x00106020
001062b0,JMP qword ptr [0x00137bc8]
001062b6,PUSH 0x28
001062bb,JMP 0x00106020
001062c0,JMP qword ptr [0x00137bd0]
001062c6,PUSH 0x29
001062cb,JMP 0x00106020
001062d0,JMP qword ptr [0x00137bd8]
001062d6,PUSH 0x2a
001062db,JMP 0x00106020
001062e0,JMP qword ptr [0x00137be0]
001062e6,PUSH 0x2b
001062eb,JMP 0x00106020
001062f0,JMP qword ptr [0x00137be8]
001062f6,PUSH 0x2c
001062fb,JMP 0x00106020
00106300,JMP qword ptr [0x00137bf0]
00106306,PUSH 0x2d
0010630b,JMP 0x00106020
00106310,JMP qword ptr [0x00137bf8]
00106316,PUSH 0x2e
