Offset,Instruction
00403000,SUB RSP,0x8
00403004,MOV RAX,qword ptr [0x0051bfd8]
0040300b,TEST RAX,RAX
0040300e,JZ 0x00403012
00403010,CALL RAX
00403012,ADD RSP,0x8
00403016,RET
00403020,PUSH qword ptr [0x0051bff0]
00403026,JMP qword ptr [0x0051bff8]
00403030,JMP qword ptr [0x0051c000]
00403036,PUSH 0x0
0040303b,JMP 0x00403020
00403040,JMP qword ptr [0x0051c008]
00403046,PUSH 0x1
0040304b,JMP 0x00403020
00403050,JMP qword ptr [0x0051c010]
00403056,PUSH 0x2
0040305b,JMP 0x00403020
00403060,JMP qword ptr [0x0051c018]
00403066,PUSH 0x3
0040306b,JMP 0x00403020
00403070,JMP qword ptr [0x0051c020]
00403076,PUSH 0x4
0040307b,JMP 0x00403020
00403080,JMP qword ptr [0x0051c028]
00403086,PUSH 0x5
0040308b,JMP 0x00403020
00403090,JMP qword ptr [0x0051c030]
00403096,PUSH 0x6
0040309b,JMP 0x00403020
004030a0,JMP qword ptr [0x0051c038]
004030a6,PUSH 0x7
004030ab,JMP 0x00403020
004030b0,JMP qword ptr [0x0051c040]
004030b6,PUSH 0x8
004030bb,JMP 0x00403020
004030c0,JMP qword ptr [0x0051c048]
004030c6,PUSH 0x9
004030cb,JMP 0x00403020
004030d0,JMP qword ptr [0x0051c050]
004030d6,PUSH 0xa
004030db,JMP 0x00403020
004030e0,JMP qword ptr [0x0051c058]
004030e6,PUSH 0xb
004030eb,JMP 0x00403020
004030f0,JMP qword ptr [0x0051c060]
004030f6,PUSH 0xc
004030fb,JMP 0x00403020
00403100,JMP qword ptr [0x0051c068]
00403106,PUSH 0xd
0040310b,JMP 0x00403020
00403110,JMP qword ptr [0x0051c070]
00403116,PUSH 0xe
0040311b,JMP 0x00403020
00403120,JMP qword ptr [0x0051c078]
00403126,PUSH 0xf
0040312b,JMP 0x00403020
00403130,JMP qword ptr [0x0051c080]
00403136,PUSH 0x10
0040313b,JMP 0x00403020
00403140,JMP qword ptr [0x0051c088]
00403146,PUSH 0x11
0040314b,JMP 0x00403020
00403150,JMP qword ptr [0x0051c090]
00403156,PUSH 0x12
0040315b,JMP 0x00403020
00403160,JMP qword ptr [0x0051c098]
00403166,PUSH 0x13
0040316b,JMP 0x00403020
00403170,JMP qword ptr [0x0051c0a0]
00403176,PUSH 0x14
0040317b,JMP 0x00403020
00403180,JMP qword ptr [0x0051c0a8]
00403186,PUSH 0x15
0040318b,JMP 0x00403020
00403190,JMP qword ptr [0x0051c0b0]
00403196,PUSH 0x16
0040319b,JMP 0x00403020
004031a0,JMP qword ptr [0x0051c0b8]
004031a6,PUSH 0x17
004031ab,JMP 0x00403020
004031b0,JMP qword ptr [0x0051c0c0]
004031b6,PUSH 0x18
004031bb,JMP 0x00403020
004031c0,JMP qword ptr [0x0051c0c8]
004031c6,PUSH 0x19
004031cb,JMP 0x00403020
004031d0,JMP qword ptr [0x0051c0d0]
004031d6,PUSH 0x1a
004031db,JMP 0x00403020
004031e0,JMP qword ptr [0x0051c0d8]
004031e6,PUSH 0x1b
004031eb,JMP 0x00403020
004031f0,JMP qword ptr [0x0051c0e0]
004031f6,PUSH 0x1c
004031fb,JMP 0x00403020
00403200,JMP qword ptr [0x0051c0e8]
00403206,PUSH 0x1d
0040320b,JMP 0x00403020
00403210,JMP qword ptr [0x0051c0f0]
00403216,PUSH 0x1e
0040321b,JMP 0x00403020
00403220,JMP qword ptr [0x0051c0f8]
00403226,PUSH 0x1f
0040322b,JMP 0x00403020
00403230,JMP qword ptr [0x0051c100]
00403236,PUSH 0x20
0040323b,JMP 0x00403020
00403240,JMP qword ptr [0x0051c108]
00403246,PUSH 0x21
0040324b,JMP 0x00403020
00403250,JMP qword ptr [0x0051c110]
00403256,PUSH 0x22
0040325b,JMP 0x00403020
00403260,JMP qword ptr [0x0051c118]
00403266,PUSH 0x23
0040326b,JMP 0x00403020
00403270,JMP qword ptr [0x0051c120]
00403276,PUSH 0x24
0040327b,JMP 0x00403020
00403280,JMP qword ptr [0x0051c128]
00403286,PUSH 0x25
0040328b,JMP 0x00403020
00403290,JMP qword ptr [0x0051c130]
00403296,PUSH 0x26
0040329b,JMP 0x00403020
004032a0,JMP qword ptr [0x0051c138]
004032a6,PUSH 0x27
004032ab,JMP 0x00403020
004032b0,JMP qword ptr [0x0051c140]
004032b6,PUSH 0x28
004032bb,JMP 0x00403020
004032c0,JMP qword ptr [0x0051c148]
004032c6,PUSH 0x29
004032cb,JMP 0x00403020
004032d0,JMP qword ptr [0x0051c150]
004032d6,PUSH 0x2a
004032db,JMP 0x00403020
004032e0,JMP qword ptr [0x0051c158]
004032e6,PUSH 0x2b
004032eb,JMP 0x00403020
004032f0,JMP qword ptr [0x0051c160]
004032f6,PUSH 0x2c
004032fb,JMP 0x00403020
00403300,JMP qword ptr [0x0051c168]
00403306,PUSH 0x2d
0040330b,JMP 0x00403020
00403310,JMP qword ptr [0x0051c170]
00403316,PUSH 0x2e
0040331b,JMP 0x00403020
00403320,JMP qword ptr [0x0051c178]
00403326,PUSH 0x2f
0040332b,JMP 0x00403020
00403330,JMP qword ptr [0x0051c180]
00403336,PUSH 0x30
0040333b,JMP 0x00403020
00403340,JMP qword ptr [0x0051c188]
00403346,PUSH 0x31
0040334b,JMP 0x00403020
00403350,JMP qword ptr [0x0051c190]
00403356,PUSH 0x32
0040335b,JMP 0x00403020
00403360,JMP qword ptr [0x0051c198]
00403366,PUSH 0x33
0040336b,JMP 0x00403020
00403370,JMP qword ptr [0x0051c1a0]
00403376,PUSH 0x34
0040337b,JMP 0x00403020
00403380,JMP qword ptr [0x0051c1a8]
00403386,PUSH 0x35
0040338b,JMP 0x00403020
00403390,JMP qword ptr [0x0051c1b0]
00403396,PUSH 0x36
0040339b,JMP 0x00403020
004033a0,JMP qword ptr [0x0051c1b8]
004033a6,PUSH 0x37
004033ab,JMP 0x00403020
004033b0,JMP qword ptr [0x0051c1c0]
004033b6,PUSH 0x38
004033bb,JMP 0x00403020
004033c0,JMP qword ptr [0x0051c1c8]
004033c6,PUSH 0x39
004033cb,JMP 0x00403020
004033d0,JMP qword ptr [0x0051c1d0]
004033d6,PUSH 0x3a
004033db,JMP 0x00403020
004033e0,JMP qword ptr [0x0051c1d8]
004033e6,PUSH 0x3b
004033eb,JMP 0x00403020
004033f0,JMP qword ptr [0x0051c1e0]
004033f6,PUSH 0x3c
004033fb,JMP 0x00403020
00403400,JMP qword ptr [0x0051c1e8]
00403406,PUSH 0x3d
0040340b,JMP 0x00403020
00403410,JMP qword ptr [0x0051c1f0]
00403416,PUSH 0x3e
0040341b,JMP 0x00403020
00403420,JMP qword ptr [0x0051c1f8]
00403426,PUSH 0x3f
0040342b,JMP 0x00403020
00403430,JMP qword ptr [0x0051c200]
00403436,PUSH 0x40
0040343b,JMP 0x00403020
00403440,JMP qword ptr [0x0051c208]
00403446,PUSH 0x41
0040344b,JMP 0x00403020
00403450,JMP qword ptr [0x0051c210]
00403456,PUSH 0x42
0040345b,JMP 0x00403020
00403460,JMP qword ptr [0x0051c218]
00403466,PUSH 0x43
0040346b,JMP 0x00403020
00403470,JMP qword ptr [0x0051c220]
00403476,PUSH 0x44
0040347b,JMP 0x00403020
00403480,JMP qword ptr [0x0051c228]
00403486,PUSH 0x45
0040348b,JMP 0x00403020
00403490,JMP qword ptr [0x0051c230]
00403496,PUSH 0x46
0040349b,JMP 0x00403020
004034a0,JMP qword ptr [0x0051c238]
004034a6,PUSH 0x47
004034ab,JMP 0x00403020
004034b0,JMP qword ptr [0x0051c240]
004034b6,PUSH 0x48
004034bb,JMP 0x00403020
004034c0,JMP qword ptr [0x0051c248]
004034c6,PUSH 0x49
004034cb,JMP 0x00403020
004034d0,JMP qword ptr [0x0051c250]
004034d6,PUSH 0x4a
004034db,JMP 0x00403020
004034e0,JMP qword ptr [0x0051c258]
004034e6,PUSH 0x4b
004034eb,JMP 0x00403020
004034f0,JMP qword ptr [0x0051c260]
004034f6,PUSH 0x4c
004034fb,JMP 0x00403020
00403500,JMP qword ptr [0x0051c268]
00403506,PUSH 0x4d
0040350b,JMP 0x00403020
00403510,JMP qword ptr [0x0051c270]
00403516,PUSH 0x4e
0040351b,JMP 0x00403020
00403520,JMP qword ptr [0x0051c278]
00403526,PUSH 0x4f
0040352b,JMP 0x00403020
00403530,JMP qword ptr [0x0051c280]
00403536,PUSH 0x50
0040353b,JMP 0x00403020
00403540,JMP qword ptr [0x0051c288]
00403546,PUSH 0x51
0040354b,JMP 0x00403020
00403550,JMP qword ptr [0x0051c290]
00403556,PUSH 0x52
0040355b,JMP 0x00403020
00403560,JMP qword ptr [0x0051c298]
00403566,PUSH 0x53
0040356b,JMP 0x00403020
00403570,JMP qword ptr [0x0051c2a0]
00403576,PUSH 0x54
0040357b,JMP 0x00403020
00403580,JMP qword ptr [0x0051c2a8]
00403586,PUSH 0x55
0040358b,JMP 0x00403020
00403590,JMP qword ptr [0x0051c2b0]
00403596,PUSH 0x56
0040359b,JMP 0x00403020
004035a0,JMP qword ptr [0x0051c2b8]
004035a6,PUSH 0x57
004035ab,JMP 0x00403020
004035b0,JMP qword ptr [0x0051c2c0]
004035b6,PUSH 0x58
004035bb,JMP 0x00403020
004035c0,JMP qword ptr [0x0051c2c8]
004035c6,PUSH 0x59
004035cb,JMP 0x00403020
004035d0,JMP qword ptr [0x0051c2d0]
004035d6,PUSH 0x5a
004035db,JMP 0x00403020
004035e0,JMP qword ptr [0x0051c2d8]
004035e6,PUSH 0x5b
004035eb,JMP 0x00403020
004035f0,JMP qword ptr [0x0051c2e0]
004035f6,PUSH 0x5c
004035fb,JMP 0x00403020
00403600,JMP qword ptr [0x0051c2e8]
00403606,PUSH 0x5d
0040360b,JMP 0x00403020
00403610,JMP qword ptr [0x0051c2f0]
00403616,PUSH 0x5e
0040361b,JMP 0x00403020
00403620,JMP qword ptr [0x0051c2f8]
00403626,PUSH 0x5f
0040362b,JMP 0x00403020
00403630,JMP qword ptr [0x0051c300]
00403636,PUSH 0x60
0040363b,JMP 0x00403020
00403640,JMP qword ptr [0x0051c308]
00403646,PUSH 0x61
0040364b,JMP 0x00403020
00403650,JMP qword ptr [0x0051c310]
00403656,PUSH 0x62
0040365b,JMP 0x00403020
00403660,JMP qword ptr [0x0051c318]
00403666,PUSH 0x63
0040366b,JMP 0x00403020
00403670,JMP qword ptr [0x0051c320]
00403676,PUSH 0x64
0040367b,JMP 0x00403020
00403680,JMP qword ptr [0x0051c328]
00403686,PUSH 0x65
0040368b,JMP 0x00403020
00403690,JMP qword ptr [0x0051c330]
00403696,PUSH 0x66
0040369b,JMP 0x00403020
004036a0,JMP qword ptr [0x0051c338]
004036a6,PUSH 0x67
004036ab,JMP 0x00403020
004036b0,JMP qword ptr [0x0051c340]
004036b6,PUSH 0x68
004036bb,JMP 0x00403020
004036c0,JMP qword ptr [0x0051c348]
004036c6,PUSH 0x69
004036cb,JMP 0x00403020
004036d0,JMP qword ptr [0x0051c350]
004036d6,PUSH 0x6a
004036db,JMP 0x00403020
004036e0,JMP qword ptr [0x0051c358]
004036e6,PUSH 0x6b
004036eb,JMP 0x00403020
004036f0,JMP qword ptr [0x0051c360]
004036f6,PUSH 0x6c
004036fb,JMP 0x00403020
00403700,JMP qword ptr [0x0051c368]
00403706,PUSH 0x6d
0040370b,JMP 0x00403020
00403710,JMP qword ptr [0x0051c370]
00403716,PUSH 0x6e
0040371b,JMP 0x00403020
00403720,JMP qword ptr [0x0051c378]
00403726,PUSH 0x6f
0040372b,JMP 0x00403020
00403730,JMP qword ptr [0x0051c380]
00403736,PUSH 0x70
0040373b,JMP 0x00403020
00403740,JMP qword ptr [0x0051c388]
00403746,PUSH 0x71
0040374b,JMP 0x00403020
00403750,JMP qword ptr [0x0051c390]
00403756,PUSH 0x72
0040375b,JMP 0x00403020
00403760,JMP qword ptr [0x0051c398]
00403766,PUSH 0x73
0040376b,JMP 0x00403020
00403770,JMP qword ptr [0x0051c3a0]
00403776,PUSH 0x74
0040377b,JMP 0x00403020
00403780,JMP qword ptr [0x0051c3a8]
00403786,PUSH 0x75
0040378b,JMP 0x00403020
00403790,JMP qword ptr [0x0051c3b0]
00403796,PUSH 0x76
0040379b,JMP 0x00403020
004037a0,JMP qword ptr [0x0051c3b8]
004037a6,PUSH 0x77
004037ab,JMP 0x00403020
004037b0,JMP qword ptr [0x0051c3c0]
004037b6,PUSH 0x78
004037bb,JMP 0x00403020
004037c0,JMP qword ptr [0x0051c3c8]
004037c6,PUSH 0x79
004037cb,JMP 0x00403020
004037d0,JMP qword ptr [0x0051c3d0]
004037d6,PUSH 0x7a
004037db,JMP 0x00403020
004037e0,JMP qword ptr [0x0051c3d8]
004037e6,PUSH 0x7b
004037eb,JMP 0x00403020
004037f0,JMP qword ptr [0x0051c3e0]
004037f6,PUSH 0x7c
004037fb,JMP 0x00403020
00403800,JMP qword ptr [0x0051c3e8]
00403806,PUSH 0x7d
0040380b,JMP 0x00403020
00403810,JMP qword ptr [0x0051c3f0]
00403816,PUSH 0x7e
0040381b,JMP 0x00403020
00403820,JMP qword ptr [0x0051c3f8]
00403826,PUSH 0x7f
0040382b,JMP 0x00403020
00403830,JMP qword ptr [0x0051c400]
00403836,PUSH 0x80
0040383b,JMP 0x00403020
00403840,JMP qword ptr [0x0051c408]
00403846,PUSH 0x81
0040384b,JMP 0x00403020
00403850,JMP qword ptr [0x0051c410]
00403856,PUSH 0x82
0040385b,JMP 0x00403020
00403880,XOR EAX,EAX
00403882,MOV qword ptr [RBP + -0xd8],RAX
00403889,JMP 0x0043c8e7
0040388e,XOR EDX,EDX
00403890,MOV qword ptr [RBP + -0xd8],RDX
00403897,JMP 0x0043c8bf
0040389c,XOR ECX,ECX
0040389e,MOV qword ptr [RBP + -0xd8],RCX
004038a5,JMP 0x0043c8bf
004038aa,XOR EDI,EDI
004038ac,XOR R15D,R15D
004038af,MOV qword ptr [RBP + -0xd8],RDI
004038b6,JMP 0x0043c8bf
004038bb,CALL 0x004037d0
004038c0,MOV R14,RAX
004038c3,JMP 0x0043c6f9
004038c8,MOV EDI,0x4f7bd0
004038cd,CALL 0x00403050
004038d2,TEST RAX,RAX
004038d5,JZ 0x0043c6db
004038db,MOV RDI,RAX
004038de,MOV qword ptr [RBP + -0xd8],RAX
004038e5,CALL 0x004032a0
004038ea,MOV RDI,R15
004038ed,MOV R14,RAX
004038f0,CALL 0x004032a0
004038f5,ADD R14,0x1
004038f9,MOV RSI,qword ptr [RBP + -0xd8]
00403900,MOV RDX,RAX
00403903,MOV EAX,0x2
00403908,CMP R14,RAX
0040390b,CMOVC R14,RAX
0040390f,LEA RDI,[R14 + RDX*0x1 + 0x1]
00403914,CMP RDI,0xfbf
0040391b,JA 0x004039b0
00403921,LEA RAX,[RDI + 0x17]
00403925,AND RAX,-0x10
00403929,SUB RSP,RAX
0040392c,XOR EAX,EAX
0040392e,LEA RCX,[RSP + 0xf]
00403933,MOV qword ptr [RBP + -0x100],RAX
0040393a,AND RCX,-0x10
0040393e,MOV R14,RCX
00403941,MOV R8,RSI
00403944,MOVZX EDX,byte ptr [R8]
00403948,CMP DL,0x3a
0040394b,JZ 0x004039f4
00403951,LEA RAX,[R8 + 0x1]
00403955,TEST DL,DL
00403957,JZ 0x004039f4
0040395d,MOV R8,RAX
00403960,JMP 0x00403944
00403962,XOR R9D,R9D
00403965,XOR R10D,R10D
00403968,XOR R15D,R15D
0040396b,XOR R12D,R12D
0040396e,MOV qword ptr [RBP + -0xd8],R9
00403975,MOV qword ptr [RBP + -0xf0],R10
0040397c,JMP 0x0043c8bf
00403981,XOR R14D,R14D
00403984,CMP dword ptr [RBP + -0xe8],R14D
0040398b,JLE 0x004039d2
