Offset,Instruction
00106000,SUB RSP,0x8
00106004,MOV RAX,qword ptr [0x00149ed0]
0010600b,TEST RAX,RAX
0010600e,JZ 0x00106012
00106010,CALL RAX
00106012,ADD RSP,0x8
00106016,RET
00106020,PUSH qword ptr [0x00149808]
00106026,JMP qword ptr [0x00149810]
00106030,JMP qword ptr [0x00149818]
00106036,PUSH 0x0
0010603b,JMP 0x00106020
00106040,JMP qword ptr [0x00149820]
00106046,PUSH 0x1
0010604b,JMP 0x00106020
00106050,JMP qword ptr [0x00149828]
00106056,PUSH 0x2
0010605b,JMP 0x00106020
00106060,JMP qword ptr [0x00149830]
00106066,PUSH 0x3
0010606b,JMP 0x00106020
00106070,JMP qword ptr [0x00149838]
00106076,PUSH 0x4
0010607b,JMP 0x00106020
00106080,JMP qword ptr [0x00149840]
00106086,PUSH 0x5
0010608b,JMP 0x00106020
00106090,JMP qword ptr [0x00149848]
00106096,PUSH 0x6
0010609b,JMP 0x00106020
001060a0,JMP qword ptr [0x00149850]
001060a6,PUSH 0x7
001060ab,JMP 0x00106020
001060b0,JMP qword ptr [0x00149858]
001060b6,PUSH 0x8
001060bb,JMP 0x00106020
001060c0,JMP qword ptr [0x00149860]
001060c6,PUSH 0x9
001060cb,JMP 0x00106020
001060d0,JMP qword ptr [0x00149868]
001060d6,PUSH 0xa
001060db,JMP 0x00106020
001060e0,JMP qword ptr [0x00149870]
001060e6,PUSH 0xb
001060eb,JMP 0x00106020
001060f0,JMP qword ptr [0x00149878]
001060f6,PUSH 0xc
001060fb,JMP 0x00106020
00106100,JMP qword ptr [0x00149880]
00106106,PUSH 0xd
0010610b,JMP 0x00106020
00106110,JMP qword ptr [0x00149888]
00106116,PUSH 0xe
0010611b,JMP 0x00106020
00106120,JMP qword ptr [0x00149890]
00106126,PUSH 0xf
0010612b,JMP 0x00106020
00106130,JMP qword ptr [0x00149898]
00106136,PUSH 0x10
0010613b,JMP 0x00106020
00106140,JMP qword ptr [0x001498a0]
00106146,PUSH 0x11
