Offset,Instruction
00403000,SUB RSP,0x8
00403004,MOV RAX,qword ptr [0x0051afd8]
0040300b,TEST RAX,RAX
0040300e,JZ 0x00403012
00403010,CALL RAX
00403012,ADD RSP,0x8
00403016,RET
00403020,PUSH qword ptr [0x0051aff0]
00403026,JMP qword ptr [0x0051aff8]
00403030,JMP qword ptr [0x0051b000]
00403036,PUSH 0x0
0040303b,JMP 0x00403020
00403040,JMP qword ptr [0x0051b008]
00403046,PUSH 0x1
0040304b,JMP 0x00403020
00403050,JMP qword ptr [0x0051b010]
00403056,PUSH 0x2
0040305b,JMP 0x00403020
00403060,JMP qword ptr [0x0051b018]
00403066,PUSH 0x3
0040306b,JMP 0x00403020
00403070,JMP qword ptr [0x0051b020]
00403076,PUSH 0x4
0040307b,JMP 0x00403020
00403080,JMP qword ptr [0x0051b028]
00403086,PUSH 0x5
0040308b,JMP 0x00403020
00403090,JMP qword ptr [0x0051b030]
00403096,PUSH 0x6
0040309b,JMP 0x00403020
004030a0,JMP qword ptr [0x0051b038]
004030a6,PUSH 0x7
004030ab,JMP 0x00403020
004030b0,JMP qword ptr [0x0051b040]
004030b6,PUSH 0x8
004030bb,JMP 0x00403020
004030c0,JMP qword ptr [0x0051b048]
004030c6,PUSH 0x9
004030cb,JMP 0x00403020
004030d0,JMP qword ptr [0x0051b050]
004030d6,PUSH 0xa
004030db,JMP 0x00403020
004030e0,JMP qword ptr [0x0051b058]
004030e6,PUSH 0xb
004030eb,JMP 0x00403020
004030f0,JMP qword ptr [0x0051b060]
004030f6,PUSH 0xc
004030fb,JMP 0x00403020
00403100,JMP qword ptr [0x0051b068]
00403106,PUSH 0xd
0040310b,JMP 0x00403020
00403110,JMP qword ptr [0x0051b070]
00403116,PUSH 0xe
0040311b,JMP 0x00403020
00403120,JMP qword ptr [0x0051b078]
00403126,PUSH 0xf
0040312b,JMP 0x00403020
00403130,JMP qword ptr [0x0051b080]
00403136,PUSH 0x10
0040313b,JMP 0x00403020
00403140,JMP qword ptr [0x0051b088]
00403146,PUSH 0x11
0040314b,JMP 0x00403020
00403150,JMP qword ptr [0x0051b090]
00403156,PUSH 0x12
0040315b,JMP 0x00403020
00403160,JMP qword ptr [0x0051b098]
00403166,PUSH 0x13
0040316b,JMP 0x00403020
00403170,JMP qword ptr [0x0051b0a0]
00403176,PUSH 0x14
0040317b,JMP 0x00403020
00403180,JMP qword ptr [0x0051b0a8]
00403186,PUSH 0x15
0040318b,JMP 0x00403020
00403190,JMP qword ptr [0x0051b0b0]
00403196,PUSH 0x16
0040319b,JMP 0x00403020
004031a0,JMP qword ptr [0x0051b0b8]
004031a6,PUSH 0x17
004031ab,JMP 0x00403020
004031b0,JMP qword ptr [0x0051b0c0]
004031b6,PUSH 0x18
004031bb,JMP 0x00403020
004031c0,JMP qword ptr [0x0051b0c8]
004031c6,PUSH 0x19
004031cb,JMP 0x00403020
004031d0,JMP qword ptr [0x0051b0d0]
004031d6,PUSH 0x1a
004031db,JMP 0x00403020
004031e0,JMP qword ptr [0x0051b0d8]
004031e6,PUSH 0x1b
004031eb,JMP 0x00403020
004031f0,JMP qword ptr [0x0051b0e0]
004031f6,PUSH 0x1c
004031fb,JMP 0x00403020
00403200,JMP qword ptr [0x0051b0e8]
00403206,PUSH 0x1d
0040320b,JMP 0x00403020
00403210,JMP qword ptr [0x0051b0f0]
00403216,PUSH 0x1e
0040321b,JMP 0x00403020
00403220,JMP qword ptr [0x0051b0f8]
00403226,PUSH 0x1f
0040322b,JMP 0x00403020
00403230,JMP qword ptr [0x0051b100]
00403236,PUSH 0x20
0040323b,JMP 0x00403020
00403240,JMP qword ptr [0x0051b108]
00403246,PUSH 0x21
0040324b,JMP 0x00403020
00403250,JMP qword ptr [0x0051b110]
00403256,PUSH 0x22
0040325b,JMP 0x00403020
00403260,JMP qword ptr [0x0051b118]
00403266,PUSH 0x23
0040326b,JMP 0x00403020
00403270,JMP qword ptr [0x0051b120]
00403276,PUSH 0x24
0040327b,JMP 0x00403020
00403280,JMP qword ptr [0x0051b128]
00403286,PUSH 0x25
0040328b,JMP 0x00403020
00403290,JMP qword ptr [0x0051b130]
00403296,PUSH 0x26
0040329b,JMP 0x00403020
004032a0,JMP qword ptr [0x0051b138]
004032a6,PUSH 0x27
004032ab,JMP 0x00403020
004032b0,JMP qword ptr [0x0051b140]
004032b6,PUSH 0x28
004032bb,JMP 0x00403020
004032c0,JMP qword ptr [0x0051b148]
004032c6,PUSH 0x29
004032cb,JMP 0x00403020
004032d0,JMP qword ptr [0x0051b150]
004032d6,PUSH 0x2a
004032db,JMP 0x00403020
004032e0,JMP qword ptr [0x0051b158]
004032e6,PUSH 0x2b
004032eb,JMP 0x00403020
004032f0,JMP qword ptr [0x0051b160]
004032f6,PUSH 0x2c
004032fb,JMP 0x00403020
00403300,JMP qword ptr [0x0051b168]
00403306,PUSH 0x2d
0040330b,JMP 0x00403020
00403310,JMP qword ptr [0x0051b170]
00403316,PUSH 0x2e
0040331b,JMP 0x00403020
00403320,JMP qword ptr [0x0051b178]
00403326,PUSH 0x2f
0040332b,JMP 0x00403020
00403330,JMP qword ptr [0x0051b180]
00403336,PUSH 0x30
0040333b,JMP 0x00403020
00403340,JMP qword ptr [0x0051b188]
00403346,PUSH 0x31
0040334b,JMP 0x00403020
00403350,JMP qword ptr [0x0051b190]
00403356,PUSH 0x32
0040335b,JMP 0x00403020
00403360,JMP qword ptr [0x0051b198]
00403366,PUSH 0x33
0040336b,JMP 0x00403020
00403370,JMP qword ptr [0x0051b1a0]
00403376,PUSH 0x34
0040337b,JMP 0x00403020
00403380,JMP qword ptr [0x0051b1a8]
00403386,PUSH 0x35
0040338b,JMP 0x00403020
00403390,JMP qword ptr [0x0051b1b0]
00403396,PUSH 0x36
0040339b,JMP 0x00403020
004033a0,JMP qword ptr [0x0051b1b8]
004033a6,PUSH 0x37
004033ab,JMP 0x00403020
004033b0,JMP qword ptr [0x0051b1c0]
004033b6,PUSH 0x38
004033bb,JMP 0x00403020
004033c0,JMP qword ptr [0x0051b1c8]
004033c6,PUSH 0x39
004033cb,JMP 0x00403020
004033d0,JMP qword ptr [0x0051b1d0]
004033d6,PUSH 0x3a
004033db,JMP 0x00403020
004033e0,JMP qword ptr [0x0051b1d8]
004033e6,PUSH 0x3b
004033eb,JMP 0x00403020
004033f0,JMP qword ptr [0x0051b1e0]
004033f6,PUSH 0x3c
004033fb,JMP 0x00403020
00403400,JMP qword ptr [0x0051b1e8]
00403406,PUSH 0x3d
0040340b,JMP 0x00403020
00403410,JMP qword ptr [0x0051b1f0]
00403416,PUSH 0x3e
0040341b,JMP 0x00403020
00403420,JMP qword ptr [0x0051b1f8]
00403426,PUSH 0x3f
