Offset,Instruction
00102000,SUB RSP,0x8
00102004,MOV RAX,qword ptr [0x00106fd0]
0010200b,TEST RAX,RAX
0010200e,JZ 0x00102012
00102010,CALL RAX
00102012,ADD RSP,0x8
00102016,RET
00102020,PUSH qword ptr [0x00106df8]
00102026,JMP qword ptr [0x00106e00]
00102030,JMP qword ptr [0x00106e08]
00102036,PUSH 0x0
0010203b,JMP 0x00102020
00102040,JMP qword ptr [0x00106e10]
00102046,PUSH 0x1
0010204b,JMP 0x00102020
00102050,JMP qword ptr [0x00106e18]
00102056,PUSH 0x2
0010205b,JMP 0x00102020
00102060,JMP qword ptr [0x00106e20]
00102066,PUSH 0x3
0010206b,JMP 0x00102020
00102070,JMP qword ptr [0x00106e28]
00102076,PUSH 0x4
0010207b,JMP 0x00102020
00102080,JMP qword ptr [0x00106e30]
00102086,PUSH 0x5
0010208b,JMP 0x00102020
00102090,JMP qword ptr [0x00106e38]
00102096,PUSH 0x6
0010209b,JMP 0x00102020
001020a0,JMP qword ptr [0x00106e40]
001020a6,PUSH 0x7
001020ab,JMP 0x00102020
001020b0,JMP qword ptr [0x00106e48]
001020b6,PUSH 0x8
001020bb,JMP 0x00102020
001020c0,JMP qword ptr [0x00106e50]
001020c6,PUSH 0x9
001020cb,JMP 0x00102020
001020d0,JMP qword ptr [0x00106e58]
001020d6,PUSH 0xa
001020db,JMP 0x00102020
001020e0,JMP qword ptr [0x00106e60]
001020e6,PUSH 0xb
001020eb,JMP 0x00102020
001020f0,JMP qword ptr [0x00106e68]
001020f6,PUSH 0xc
001020fb,JMP 0x00102020
00102100,JMP qword ptr [0x00106e70]
00102106,PUSH 0xd
0010210b,JMP 0x00102020
00102110,JMP qword ptr [0x00106e78]
00102116,PUSH 0xe
0010211b,JMP 0x00102020
00102120,JMP qword ptr [0x00106e80]
00102126,PUSH 0xf
0010212b,JMP 0x00102020
00102130,JMP qword ptr [0x00106e88]
00102136,PUSH 0x10
0010213b,JMP 0x00102020
00102140,JMP qword ptr [0x00106e90]
00102146,PUSH 0x11
0010214b,JMP 0x00102020
00102150,JMP qword ptr [0x00106e98]
00102156,PUSH 0x12
0010215b,JMP 0x00102020
00102160,JMP qword ptr [0x00106ea0]
00102166,PUSH 0x13
0010216b,JMP 0x00102020
00102170,JMP qword ptr [0x00106ea8]
00102176,PUSH 0x14
0010217b,JMP 0x00102020
00102180,JMP qword ptr [0x00106eb0]
00102186,PUSH 0x15
0010218b,JMP 0x00102020
00102190,JMP qword ptr [0x00106eb8]
00102196,PUSH 0x16
0010219b,JMP 0x00102020
001021a0,JMP qword ptr [0x00106ec0]
001021a6,PUSH 0x17
001021ab,JMP 0x00102020
001021b0,JMP qword ptr [0x00106ec8]
001021b6,PUSH 0x18
001021bb,JMP 0x00102020
001021c0,JMP qword ptr [0x00106ed0]
001021c6,PUSH 0x19
001021cb,JMP 0x00102020
001021d0,JMP qword ptr [0x00106ed8]
001021d6,PUSH 0x1a
001021db,JMP 0x00102020
001021e0,JMP qword ptr [0x00106ee0]
001021e6,PUSH 0x1b
001021eb,JMP 0x00102020
001021f0,JMP qword ptr [0x00106ee8]
001021f6,PUSH 0x1c
001021fb,JMP 0x00102020
00102200,JMP qword ptr [0x00106ef0]
00102206,PUSH 0x1d
0010220b,JMP 0x00102020
00102210,JMP qword ptr [0x00106ef8]
00102216,PUSH 0x1e
0010221b,JMP 0x00102020
00102220,JMP qword ptr [0x00106f00]
00102226,PUSH 0x1f
0010222b,JMP 0x00102020
00102230,JMP qword ptr [0x00106f08]
00102236,PUSH 0x20
0010223b,JMP 0x00102020
00102240,JMP qword ptr [0x00106f10]
00102246,PUSH 0x21
0010224b,JMP 0x00102020
00102250,JMP qword ptr [0x00106f18]
00102256,PUSH 0x22
0010225b,JMP 0x00102020
00102260,JMP qword ptr [0x00106f20]
00102266,PUSH 0x23
0010226b,JMP 0x00102020
00102270,JMP qword ptr [0x00106f28]
00102276,PUSH 0x24
0010227b,JMP 0x00102020
00102280,JMP qword ptr [0x00106f30]
00102286,PUSH 0x25
0010228b,JMP 0x00102020
00102290,JMP qword ptr [0x00106f38]
00102296,PUSH 0x26
0010229b,JMP 0x00102020
001022a0,JMP qword ptr [0x00106f40]
001022a6,PUSH 0x27
001022ab,JMP 0x00102020
001022b0,JMP qword ptr [0x00106f48]
001022b6,PUSH 0x28
001022bb,JMP 0x00102020
001022c0,JMP qword ptr [0x00106f50]
001022c6,PUSH 0x29
001022cb,JMP 0x00102020
001022d0,JMP qword ptr [0x00106f58]
001022d6,PUSH 0x2a
001022db,JMP 0x00102020
001022e0,JMP qword ptr [0x00106f60]
001022e6,PUSH 0x2b
001022eb,JMP 0x00102020
001022f0,JMP qword ptr [0x00106f68]
001022f6,PUSH 0x2c
001022fb,JMP 0x00102020
00102300,JMP qword ptr [0x00106f70]
00102306,PUSH 0x2d
0010230b,JMP 0x00102020
00102310,JMP qword ptr [0x00106f78]
00102316,PUSH 0x2e
0010231b,JMP 0x00102020
00102320,JMP qword ptr [0x00106f80]
00102326,PUSH 0x2f
0010232b,JMP 0x00102020
00102330,JMP qword ptr [0x00106f88]
00102336,PUSH 0x30
0010233b,JMP 0x00102020
00102340,JMP qword ptr [0x00106f90]
00102346,PUSH 0x31
0010234b,JMP 0x00102020
00102350,JMP qword ptr [0x00106f98]
00102356,PUSH 0x32
0010235b,JMP 0x00102020
00102360,JMP qword ptr [0x00106fa0]
00102366,PUSH 0x33
0010236b,JMP 0x00102020
00102370,JMP qword ptr [0x00106fa8]
00102376,PUSH 0x34
0010237b,JMP 0x00102020
00102380,JMP qword ptr [0x00106fb0]
00102386,PUSH 0x35
0010238b,JMP 0x00102020
00102390,JMP qword ptr [0x00106fe8]
001023a0,LEA RDI,[0x1053ed]
001023a7,CALL 0x001022d0
001023ac,MOV EDI,0x1
001023b1,CALL 0x001022f0
001023b6,LEA RDI,[0x1053dd]
001023bd,MOV RDX,qword ptr [RBP]
001023c1,XOR ECX,ECX
001023c3,XOR EAX,EAX
001023c5,MOV RSI,RDI
001023c8,CALL 0x00102350
001023cd,CALL 0x00102090
001023d2,LEA RDI,[0x1053cf]
001023d9,MOV EBX,dword ptr [RAX]
001023db,CALL 0x001022d0
001023e0,MOV EDI,0x7f
001023e5,CMP EBX,0x2
001023e8,JZ 0x001023ef
001023ea,MOV EDI,0x7e
001023ef,CALL 0x001020b0
001023f4,LEA RCX,[0x1054f0]
001023fb,MOV EDX,0xab
00102400,LEA RSI,[0x105403]
00102407,LEA RDI,[0x105280]
0010240e,CALL 0x00102190
00102413,CALL 0x00102080
00102418,CALL 0x00102090
0010241d,LEA RDI,[0x10548d]
00102424,MOV R12D,dword ptr [RAX]
00102427,CALL 0x001022d0
0010242c,MOV EDI,0x6
00102431,XOR ESI,ESI
00102433,CALL 0x00102260
00102438,MOV RDI,RAX
0010243b,TEST RAX,RAX
0010243e,JNZ 0x001024f0
00102444,MOV EDI,R12D
00102447,CALL 0x00102340
0010244c,MOV ECX,dword ptr [RBX + 0x14]
0010244f,MOV R8,qword ptr [RBX]
00102452,MOV ESI,0x1
00102457,MOV R9,RAX
0010245a,LEA RDX,[0x1052a8]
00102461,MOV EDI,0x3
00102466,XOR EAX,EAX
00102468,CALL 0x00102280
0010246d,CALL 0x00102050
00102472,OR EAX,0xffffffff
00102475,JMP 0x00103a92
0010247a,CALL 0x00102090
0010247f,LEA RDI,[0x105494]
00102486,MOV R12D,dword ptr [RAX]
00102489,CALL 0x001022d0
0010248e,MOV EDI,0x6
00102493,XOR ESI,ESI
00102495,CALL 0x00102260
0010249a,MOV RDI,RAX
0010249d,TEST RAX,RAX
001024a0,JZ 0x00102555
001024a6,CALL 0x00102330
001024ab,MOV RBP,RAX
001024ae,TEST RAX,RAX
001024b1,JZ 0x00102555
001024b7,LEA RSI,[0x105355]
001024be,MOV EDI,0x6
001024c3,CALL 0x00102260
001024c8,MOV EDI,R12D
001024cb,CALL 0x00102340
001024d0,MOV RCX,qword ptr [RBX]
001024d3,MOV ESI,0x1
001024d8,LEA RDX,[0x1052d0]
001024df,MOV R8,RAX
001024e2,MOV EDI,0x3
001024e7,XOR EAX,EAX
001024e9,CALL 0x00102280
001024ee,JMP 0x0010253b
001024f0,CALL 0x00102330
001024f5,MOV RBP,RAX
001024f8,TEST RAX,RAX
001024fb,JZ 0x00102444
00102501,LEA RSI,[0x105355]
00102508,MOV EDI,0x6
0010250d,CALL 0x00102260
00102512,MOV EDI,R12D
00102515,CALL 0x00102340
0010251a,MOV ECX,dword ptr [RBX + 0x14]
0010251d,MOV R8,qword ptr [RBX]
00102520,MOV ESI,0x1
00102525,MOV R9,RAX
00102528,LEA RDX,[0x1052a8]
0010252f,MOV EDI,0x3
00102534,XOR EAX,EAX
00102536,CALL 0x00102280
0010253b,MOV RSI,RBP
0010253e,MOV EDI,0x6
00102543,CALL 0x00102260
00102548,MOV RDI,RBP
0010254b,CALL 0x00102040
00102550,JMP 0x0010246d
00102555,MOV EDI,R12D
00102558,CALL 0x00102340
0010255d,MOV RCX,qword ptr [RBX]
00102560,MOV ESI,0x1
00102565,LEA RDX,[0x1052d0]
0010256c,MOV R8,RAX
0010256f,MOV EDI,0x3
00102574,XOR EAX,EAX
00102576,CALL 0x00102280
0010257b,JMP 0x0010246d
00102580,CALL 0x00102090
00102585,LEA RDI,[0x10549f]
0010258c,MOV R12D,dword ptr [RAX]
0010258f,CALL 0x001022d0
00102594,MOV EDI,0x6
00102599,XOR ESI,ESI
0010259b,CALL 0x00102260
001025a0,MOV RDI,RAX
001025a3,TEST RAX,RAX
001025a6,JNZ 0x001025de
001025a8,MOV EDI,R12D
001025ab,CALL 0x00102340
001025b0,MOV ECX,dword ptr [RBX + 0x10]
001025b3,MOV R8,qword ptr [RBX]
001025b6,MOV ESI,0x1
001025bb,MOV R9,RAX
001025be,LEA RDX,[0x1052f8]
001025c5,MOV EDI,0x3
001025ca,XOR EAX,EAX
001025cc,CALL 0x00102280
001025d1,CALL 0x00102050
001025d6,OR EAX,0xffffffff
001025d9,JMP 0x00103abb
001025de,CALL 0x00102330
001025e3,MOV RBP,RAX
001025e6,TEST RAX,RAX
001025e9,JZ 0x001025a8
001025eb,LEA RSI,[0x105355]
001025f2,MOV EDI,0x6
001025f7,CALL 0x00102260
001025fc,MOV EDI,R12D
001025ff,CALL 0x00102340
00102604,MOV ECX,dword ptr [RBX + 0x10]
00102607,MOV R8,qword ptr [RBX]
0010260a,MOV ESI,0x1
0010260f,MOV R9,RAX
00102612,LEA RDX,[0x1052f8]
00102619,XOR EAX,EAX
0010261b,MOV EDI,0x3
00102620,CALL 0x00102280
00102625,MOV RSI,RBP
00102628,MOV EDI,0x6
0010262d,CALL 0x00102260
00102632,MOV RDI,RBP
00102635,CALL 0x00102040
0010263a,JMP 0x001025d1
0010263c,LEA RDI,[0x1054b0]
00102643,CALL 0x001022d0
00102648,MOV EDI,0x1
0010264d,CALL 0x001022f0
00102652,LEA RDI,[0x1054b0]
00102659,CALL 0x001022d0
0010265e,MOV EDI,0x1
00102663,CALL 0x001022f0
00102670,ENDBR64
00102674,PUSH R15
00102676,MOV R15D,0x1
0010267c,PUSH R14
0010267e,XOR R14D,R14D
00102681,PUSH R13
00102683,LEA R13,[0x107020]
0010268a,PUSH R12
0010268c,LEA R12,[0x102a60]
00102693,PUSH RBP
00102694,MOV RBP,RSI
00102697,PUSH RBX
00102698,MOV EBX,EDI
0010269a,SUB RSP,0x18
0010269e,CALL 0x00103340
001026a3,CALL 0x001034d0
001026a8,LEA RDI,[0x1054e8]
001026af,CALL 0x00103af0
001026b4,MOV RDI,qword ptr [0x001070e0]
001026bb,CALL 0x00103b10
