Offset,Instruction
00102000,SUB RSP,0x8
00102004,MOV RAX,qword ptr [0x00105fc8]
0010200b,TEST RAX,RAX
0010200e,JZ 0x00102012
00102010,CALL RAX
00102012,ADD RSP,0x8
00102016,RET
00102020,PUSH qword ptr [0x00105ff0]
00102026,JMP qword ptr [0x00105ff8]
00102030,JMP qword ptr [0x00106000]
00102036,PUSH 0x0
0010203b,JMP 0x00102020
00102040,JMP qword ptr [0x00106008]
00102046,PUSH 0x1
0010204b,JMP 0x00102020
00102050,JMP qword ptr [0x00106010]
00102056,PUSH 0x2
0010205b,JMP 0x00102020
00102060,JMP qword ptr [0x00106018]
00102066,PUSH 0x3
0010206b,JMP 0x00102020
00102070,JMP qword ptr [0x00106020]
00102076,PUSH 0x4
0010207b,JMP 0x00102020
00102080,JMP qword ptr [0x00106028]
00102086,PUSH 0x5
0010208b,JMP 0x00102020
00102090,JMP qword ptr [0x00106030]
00102096,PUSH 0x6
0010209b,JMP 0x00102020
001020a0,JMP qword ptr [0x00106038]
001020a6,PUSH 0x7
001020ab,JMP 0x00102020
001020b0,JMP qword ptr [0x00106040]
001020b6,PUSH 0x8
001020bb,JMP 0x00102020
001020c0,JMP qword ptr [0x00106048]
001020c6,PUSH 0x9
001020cb,JMP 0x00102020
001020d0,JMP qword ptr [0x00106050]
001020d6,PUSH 0xa
001020db,JMP 0x00102020
001020e0,JMP qword ptr [0x00106058]
001020e6,PUSH 0xb
001020eb,JMP 0x00102020
001020f0,JMP qword ptr [0x00106060]
001020f6,PUSH 0xc
001020fb,JMP 0x00102020
00102100,JMP qword ptr [0x00106068]
00102106,PUSH 0xd
0010210b,JMP 0x00102020
00102110,JMP qword ptr [0x00106070]
00102116,PUSH 0xe
0010211b,JMP 0x00102020
00102120,JMP qword ptr [0x00106078]
00102126,PUSH 0xf
0010212b,JMP 0x00102020
00102130,JMP qword ptr [0x00106080]
00102136,PUSH 0x10
0010213b,JMP 0x00102020
00102140,JMP qword ptr [0x00106088]
00102146,PUSH 0x11
0010214b,JMP 0x00102020
00102150,JMP qword ptr [0x00106090]
00102156,PUSH 0x12
0010215b,JMP 0x00102020
00102160,JMP qword ptr [0x00106098]
00102166,PUSH 0x13
0010216b,JMP 0x00102020
00102170,JMP qword ptr [0x001060a0]
00102176,PUSH 0x14
0010217b,JMP 0x00102020
00102180,JMP qword ptr [0x001060a8]
00102186,PUSH 0x15
0010218b,JMP 0x00102020
00102190,JMP qword ptr [0x001060b0]
00102196,PUSH 0x16
0010219b,JMP 0x00102020
001021a0,JMP qword ptr [0x001060b8]
001021a6,PUSH 0x17
001021ab,JMP 0x00102020
001021b0,JMP qword ptr [0x001060c0]
001021b6,PUSH 0x18
001021bb,JMP 0x00102020
001021c0,JMP qword ptr [0x001060c8]
001021c6,PUSH 0x19
001021cb,JMP 0x00102020
001021d0,JMP qword ptr [0x001060d0]
001021d6,PUSH 0x1a
001021db,JMP 0x00102020
001021e0,JMP qword ptr [0x001060d8]
001021e6,PUSH 0x1b
001021eb,JMP 0x00102020
001021f0,JMP qword ptr [0x001060e0]
001021f6,PUSH 0x1c
001021fb,JMP 0x00102020
00102200,JMP qword ptr [0x001060e8]
00102206,PUSH 0x1d
0010220b,JMP 0x00102020
00102210,JMP qword ptr [0x001060f0]
00102216,PUSH 0x1e
0010221b,JMP 0x00102020
00102220,JMP qword ptr [0x001060f8]
00102226,PUSH 0x1f
0010222b,JMP 0x00102020
00102230,JMP qword ptr [0x00106100]
00102236,PUSH 0x20
0010223b,JMP 0x00102020
00102240,JMP qword ptr [0x00106108]
00102246,PUSH 0x21
0010224b,JMP 0x00102020
00102250,JMP qword ptr [0x00106110]
00102256,PUSH 0x22
0010225b,JMP 0x00102020
00102260,JMP qword ptr [0x00106118]
00102266,PUSH 0x23
0010226b,JMP 0x00102020
00102270,JMP qword ptr [0x00106120]
00102276,PUSH 0x24
0010227b,JMP 0x00102020
00102280,JMP qword ptr [0x00106128]
00102286,PUSH 0x25
0010228b,JMP 0x00102020
00102290,JMP qword ptr [0x00106130]
00102296,PUSH 0x26
0010229b,JMP 0x00102020
001022a0,JMP qword ptr [0x00106138]
001022a6,PUSH 0x27
001022ab,JMP 0x00102020
001022b0,JMP qword ptr [0x00106140]
001022b6,PUSH 0x28
001022bb,JMP 0x00102020
001022c0,JMP qword ptr [0x00106148]
001022c6,PUSH 0x29
001022cb,JMP 0x00102020
001022d0,JMP qword ptr [0x00106150]
001022d6,PUSH 0x2a
001022db,JMP 0x00102020
001022e0,JMP qword ptr [0x00106158]
001022e6,PUSH 0x2b
001022eb,JMP 0x00102020
001022f0,JMP qword ptr [0x00106160]
001022f6,PUSH 0x2c
001022fb,JMP 0x00102020
00102300,JMP qword ptr [0x00106168]
00102306,PUSH 0x2d
0010230b,JMP 0x00102020
00102310,JMP qword ptr [0x00106170]
00102316,PUSH 0x2e
0010231b,JMP 0x00102020
00102320,JMP qword ptr [0x00106178]
00102326,PUSH 0x2f
0010232b,JMP 0x00102020
00102330,JMP qword ptr [0x00106180]
00102336,PUSH 0x30
0010233b,JMP 0x00102020
00102340,JMP qword ptr [0x00106188]
00102346,PUSH 0x31
0010234b,JMP 0x00102020
00102350,JMP qword ptr [0x00106190]
00102356,PUSH 0x32
0010235b,JMP 0x00102020
00102360,JMP qword ptr [0x00106198]
00102366,PUSH 0x33
0010236b,JMP 0x00102020
00102370,JMP qword ptr [0x001061a0]
00102376,PUSH 0x34
0010237b,JMP 0x00102020
00102380,JMP qword ptr [0x00105fd8]
00102390,LEA RDI,[0x1040ad]
00102397,CALL 0x001022b0
0010239c,JMP 0x00102b4e
001023a1,LEA RDI,[0x1040b2]
001023a8,CALL 0x001022b0
001023ad,MOV EDI,0x7f
001023b2,CALL 0x00102320
001023b7,MOV RDI,qword ptr [RBX]
001023ba,MOV RSI,RBX
001023bd,CALL 0x001022d0
001023c2,MOV RDI,qword ptr [RBX]
001023c5,CALL 0x001022b0
001023ca,MOV EDI,0x7f
001023cf,CALL 0x00102320
001023d4,LEA RDI,[0x1040a6]
001023db,CALL 0x001022b0
001023e0,MOV EDI,0x7f
001023e5,CALL 0x00102320
001023ea,LEA RDI,[0x1040d7]
001023f1,CALL 0x001022b0
001023f6,JMP 0x001026dc
00102400,ENDBR64
00102404,PUSH R15
00102406,PUSH R14
00102408,PUSH R13
0010240a,PUSH R12
0010240c,PUSH RBP
0010240d,MOV EBP,EDI
0010240f,PUSH RBX
00102410,SUB RSP,0x58
00102414,MOV R12,qword ptr FS:[0x28]
0010241d,MOV qword ptr [RSP + 0x48],R12
00102422,MOV R12,RSI
00102425,MOV dword ptr [RSP + 0x34],0x0
0010242d,CALL 0x00102230
00102432,MOV dword ptr [RSP + 0x28],EAX
00102436,MOV EBX,EAX
00102438,CALL 0x00102250
0010243d,MOV dword ptr [RSP + 0x2c],EAX
00102441,CMP EBX,EAX
00102443,JZ 0x00102461
00102445,MOV ESI,EBX
00102447,MOV EDI,0xffffffff
0010244c,CALL 0x00102270
00102451,TEST EAX,EAX
00102453,JNS 0x00102461
00102455,LEA RDI,[0x104049]
0010245c,CALL 0x00102f30
00102461,LEA RBX,[0x102c70]
00102468,MOV EDI,0x2
0010246d,XOR R14D,R14D
00102470,LEA R13,[0x10405b]
00102477,MOV RSI,RBX
0010247a,CALL 0x00102cb0
0010247f,MOV RSI,RBX
00102482,MOV EDI,0x3
00102487,CALL 0x00102cb0
0010248c,MOV RSI,RBX
0010248f,MOV EDI,0x1
00102494,CALL 0x00102cb0
00102499,MOV RSI,RBX
0010249c,MOV EDI,0xf
001024a1,CALL 0x00102cb0
001024a6,MOV RSI,RBX
001024a9,MOV EDI,0xd
001024ae,LEA RBX,[0x104240]
001024b5,CALL 0x00102cb0
001024ba,MOV dword ptr [RSP + 0x20],0x0
001024c2,MOV dword ptr [RSP + 0x24],0x0
001024ca,MOV dword ptr [RSP + 0x14],0x0
