Offset,Instruction
00102000,SUB RSP,0x8
00102004,MOV RAX,qword ptr [0x00116fe8]
0010200b,TEST RAX,RAX
0010200e,JZ 0x00102012
00102010,CALL RAX
00102012,ADD RSP,0x8
00102016,RET
00102020,PUSH qword ptr [0x00116e58]
00102026,JMP qword ptr [0x00116e60]
00102030,JMP qword ptr [0x00116e68]
00102036,PUSH 0x0
0010203b,JMP 0x00102020
00102040,JMP qword ptr [0x00116e70]
00102046,PUSH 0x1
0010204b,JMP 0x00102020
00102050,JMP qword ptr [0x00116e78]
00102056,PUSH 0x2
0010205b,JMP 0x00102020
00102060,JMP qword ptr [0x00116e80]
00102066,PUSH 0x3
0010206b,JMP 0x00102020
00102070,JMP qword ptr [0x00116e88]
00102076,PUSH 0x4
0010207b,JMP 0x00102020
00102080,JMP qword ptr [0x00116e90]
00102086,PUSH 0x5
0010208b,JMP 0x00102020
00102090,JMP qword ptr [0x00116e98]
00102096,PUSH 0x6
0010209b,JMP 0x00102020
001020a0,JMP qword ptr [0x00116ea0]
001020a6,PUSH 0x7
001020ab,JMP 0x00102020
001020b0,JMP qword ptr [0x00116ea8]
001020b6,PUSH 0x8
001020bb,JMP 0x00102020
001020c0,JMP qword ptr [0x00116eb0]
001020c6,PUSH 0x9
001020cb,JMP 0x00102020
001020d0,JMP qword ptr [0x00116eb8]
001020d6,PUSH 0xa
001020db,JMP 0x00102020
001020e0,JMP qword ptr [0x00116ec0]
001020e6,PUSH 0xb
001020eb,JMP 0x00102020
001020f0,JMP qword ptr [0x00116ec8]
001020f6,PUSH 0xc
001020fb,JMP 0x00102020
00102100,JMP qword ptr [0x00116ed0]
00102106,PUSH 0xd
0010210b,JMP 0x00102020
00102110,JMP qword ptr [0x00116ed8]
00102116,PUSH 0xe
0010211b,JMP 0x00102020
00102120,JMP qword ptr [0x00116ee0]
00102126,PUSH 0xf
0010212b,JMP 0x00102020
00102130,JMP qword ptr [0x00116ee8]
00102136,PUSH 0x10
0010213b,JMP 0x00102020
00102140,JMP qword ptr [0x00116ef0]
00102146,PUSH 0x11
0010214b,JMP 0x00102020
00102150,JMP qword ptr [0x00116ef8]
00102156,PUSH 0x12
0010215b,JMP 0x00102020
00102160,JMP qword ptr [0x00116f00]
00102166,PUSH 0x13
0010216b,JMP 0x00102020
00102170,JMP qword ptr [0x00116f08]
00102176,PUSH 0x14
0010217b,JMP 0x00102020
00102180,JMP qword ptr [0x00116f10]
00102186,PUSH 0x15
0010218b,JMP 0x00102020
00102190,JMP qword ptr [0x00116f18]
00102196,PUSH 0x16
0010219b,JMP 0x00102020
001021a0,JMP qword ptr [0x00116f20]
001021a6,PUSH 0x17
001021ab,JMP 0x00102020
001021b0,JMP qword ptr [0x00116f28]
001021b6,PUSH 0x18
001021bb,JMP 0x00102020
001021c0,JMP qword ptr [0x00116f30]
001021c6,PUSH 0x19
001021cb,JMP 0x00102020
001021d0,JMP qword ptr [0x00116f38]
001021d6,PUSH 0x1a
001021db,JMP 0x00102020
001021e0,JMP qword ptr [0x00116f40]
001021e6,PUSH 0x1b
001021eb,JMP 0x00102020
001021f0,JMP qword ptr [0x00116f48]
001021f6,PUSH 0x1c
001021fb,JMP 0x00102020
00102200,JMP qword ptr [0x00116f50]
00102206,PUSH 0x1d
0010220b,JMP 0x00102020
00102210,JMP qword ptr [0x00116f58]
00102216,PUSH 0x1e
0010221b,JMP 0x00102020
00102220,JMP qword ptr [0x00116f60]
00102226,PUSH 0x1f
0010222b,JMP 0x00102020
00102230,JMP qword ptr [0x00116f68]
00102236,PUSH 0x20
0010223b,JMP 0x00102020
00102240,JMP qword ptr [0x00116f70]
00102246,PUSH 0x21
0010224b,JMP 0x00102020
00102250,JMP qword ptr [0x00116f78]
00102256,PUSH 0x22
0010225b,JMP 0x00102020
00102260,JMP qword ptr [0x00116f80]
00102266,PUSH 0x23
0010226b,JMP 0x00102020
00102270,JMP qword ptr [0x00116f88]
00102276,PUSH 0x24
0010227b,JMP 0x00102020
00102280,JMP qword ptr [0x00116f90]
00102286,PUSH 0x25
0010228b,JMP 0x00102020
00102290,JMP qword ptr [0x00116f98]
00102296,PUSH 0x26
0010229b,JMP 0x00102020
001022a0,JMP qword ptr [0x00116fa0]
001022a6,PUSH 0x27
001022ab,JMP 0x00102020
001022b0,JMP qword ptr [0x00116fa8]
001022b6,PUSH 0x28
001022bb,JMP 0x00102020
001022c0,JMP qword ptr [0x00116fb0]
001022c6,PUSH 0x29
001022cb,JMP 0x00102020
001022d0,JMP qword ptr [0x00116fb8]
001022d6,PUSH 0x2a
001022db,JMP 0x00102020
001022e0,JMP qword ptr [0x00116fc0]
001022e6,PUSH 0x2b
001022eb,JMP 0x00102020
001022f0,JMP qword ptr [0x00116fc8]
001022f6,PUSH 0x2c
001022fb,JMP 0x00102020
00102300,JMP qword ptr [0x00116fd0]
00102306,PUSH 0x2d
0010230b,JMP 0x00102020
00102310,JMP qword ptr [0x00116ff8]
00102320,MOV RAX,qword ptr [0x00000008]
00102328,UD2
0010232a,CALL 0x0010a310
0010233a,CALL 0x0010a310
0010234a,CALL 0x0010a310
0010235a,CALL 0x0010a310
0010236a,CALL 0x0010a310
0010237c,CALL 0x0010a310
0010238c,CALL 0x0010a310
001023a0,ENDBR64
001023a4,PUSH R13
001023a6,PUSH R12
001023a8,MOV R12,RSI
001023ab,PUSH RBP
001023ac,MOV EBP,EDI
001023ae,XOR EDI,EDI
001023b0,PUSH RBX
001023b1,SUB RSP,0x108
001023b8,MOV RAX,qword ptr FS:[0x28]
001023c1,MOV qword ptr [RSP + 0xf8],RAX
001023c9,XOR EAX,EAX
001023cb,CALL 0x001020d0
001023d0,TEST EAX,EAX
001023d2,JNZ 0x00102570
001023d8,MOV RDI,qword ptr [0x001172e0]
001023df,XOR ECX,ECX
001023e1,MOV EDX,0x1
001023e6,XOR ESI,ESI
001023e8,LEA R13,[0x110620]
001023ef,CALL 0x00102260
001023f4,MOV RDI,R13
001023f7,CALL 0x00102030
001023fc,MOV RBX,RAX
001023ff,TEST RAX,RAX
00102402,JZ 0x00102472
00102404,MOV RDI,R13
00102407,CALL 0x001022e0
0010240c,MOV qword ptr [RSP],RAX
00102410,MOVZX EAX,byte ptr [RBX]
00102413,TEST AL,AL
00102415,JZ 0x001025c0
0010241b,MOV EDI,0x1
00102420,JMP 0x00102433
00102428,ADD RBX,0x1
0010242c,MOVZX EAX,byte ptr [RBX]
0010242f,TEST AL,AL
00102431,JZ 0x0010246a
00102433,CMP AL,0x20
00102435,JZ 0x00102428
00102437,MOV qword ptr [RSP + RDI*0x8],RBX
0010243b,MOVZX EAX,byte ptr [RBX]
0010243e,LEA EDX,[RDI + 0x1]
00102441,TEST AL,0xdf
00102443,JZ 0x00102454
00102445,NOP dword ptr [RAX]
00102448,MOVZX EAX,byte ptr [RBX + 0x1]
0010244c,ADD RBX,0x1
00102450,TEST AL,0xdf
00102452,JNZ 0x00102448
00102454,MOVSXD RDI,EDX
00102457,TEST AL,AL
00102459,JZ 0x0010242c
0010245b,MOV byte ptr [RBX],0x0
0010245e,MOVZX EAX,byte ptr [RBX + 0x1]
00102462,ADD RBX,0x1
00102466,TEST AL,AL
00102468,JNZ 0x00102433
0010246a,MOV RSI,RSP
0010246d,CALL 0x00102710
00102472,MOV EDI,EBP
00102474,MOV RSI,R12
00102477,CALL 0x00102710
0010247c,LEA RDI,[0x11062c]
00102483,CALL 0x00102030
00102488,TEST RAX,RAX
0010248b,JZ 0x00102497
0010248d,MOV dword ptr [0x001174bc],0x1
00102497,LEA RDI,[0x11063c]
0010249e,CALL 0x00102030
001024a3,TEST RAX,RAX
001024a6,JZ 0x001024c6
001024a8,MOV EDX,0xa
001024ad,XOR ESI,ESI
001024af,MOV RDI,RAX
001024b2,CALL 0x001021d0
001024b7,MOV dword ptr [0x0011741c],EAX
001024bd,CMP EAX,0x2
001024c0,JG 0x001024d0
001024c2,TEST EAX,EAX
001024c4,JZ 0x001024d0
001024c6,MOV dword ptr [0x0011741c],0x46
001024d0,CALL 0x00108880
001024d5,CALL 0x00107bb0
001024da,CMP byte ptr [0x001174cc],0x0
001024e1,JNZ 0x0010255a
001024e3,CALL 0x0010a230
001024e8,CALL 0x0010a500
001024ed,MOV byte ptr [0x001174a0],0x0
001024f4,MOV byte ptr [0x00117338],0x1
001024fb,CALL 0x00102970
00102500,TEST EAX,EAX
00102502,JZ 0x0010254e
00102504,CMP byte ptr [0x001174cc],0x0
0010250b,JNZ 0x0010259a
00102511,CALL 0x00102bd0
00102516,MOV EAX,dword ptr [0x001174c8]
0010251c,TEST EAX,EAX
0010251e,JNZ 0x0010258e
00102520,XOR EDI,EDI
00102522,CALL 0x0010b170
00102527,MOV RAX,qword ptr [RSP + 0xf8]
0010252f,SUB RAX,qword ptr FS:[0x28]
00102538,JNZ 0x001025ca
0010253e,ADD RSP,0x108
00102545,XOR EAX,EAX
00102547,POP RBX
00102548,POP RBP
00102549,POP R12
0010254b,POP R13
0010254d,RET
0010254e,MOV EDI,0x1
00102553,CALL 0x0010b170
00102558,JMP 0x00102504
0010255a,LEA RSI,[0x1026c0]
00102561,MOV EDI,0x2
00102566,CALL 0x001021c0
0010256b,JMP 0x001024e3
00102570,MOV EDI,0x1
00102575,CALL 0x001020d0
0010257a,TEST EAX,EAX
0010257c,JZ 0x001023d8
00102582,MOV byte ptr [0x001174cc],0x1
00102589,JMP 0x001023d8
0010258e,MOV EDI,0xa
00102593,CALL 0x00102070
00102598,JMP 0x00102520
0010259a,LEA RAX,[0x11064b]
001025a1,MOV qword ptr [0x00117308],RAX
001025a8,MOV RAX,qword ptr [0x001172f0]
001025af,MOV qword ptr [0x00117300],RAX
001025b6,CALL 0x00102210
001025bb,JMP 0x00102511
001025c0,MOV EDI,0x1
001025c5,JMP 0x0010246a
001025ca,CALL 0x00102120
001025cf,NOP
001025d0,XOR EBP,EBP
001025d2,MOV R9,RDX
001025d5,POP RSI
001025d6,MOV RDX,RSP
001025d9,AND RSP,-0x10
001025dd,PUSH RAX
001025de,PUSH RSP
001025df,XOR R8D,R8D
001025e2,XOR ECX,ECX
001025e4,LEA RDI,[0x1023a0]
001025eb,CALL qword ptr [0x00116fd8]
001025f1,HLT
00102600,LEA RDI,[0x1172e0]
00102607,LEA RAX,[0x1172e0]
0010260e,CMP RAX,RDI
00102611,JZ 0x00102628
00102613,MOV RAX,qword ptr [0x00116fe0]
0010261a,TEST RAX,RAX
0010261d,JZ 0x00102628
0010261f,JMP RAX
00102628,RET
00102630,LEA RDI,[0x1172e0]
00102637,LEA RSI,[0x1172e0]
0010263e,SUB RSI,RDI
00102641,MOV RAX,RSI
00102644,SHR RSI,0x3f
00102648,SAR RAX,0x3
0010264c,ADD RSI,RAX
0010264f,SAR RSI,0x1
00102652,JZ 0x00102668
00102654,MOV RAX,qword ptr [0x00116ff0]
0010265b,TEST RAX,RAX
0010265e,JZ 0x00102668
00102660,JMP RAX
00102668,RET
00102670,ENDBR64
00102674,CMP byte ptr [0x00117328],0x0
0010267b,JNZ 0x001026a8
0010267d,PUSH RBP
0010267e,CMP qword ptr [0x00116ff8],0x0
00102686,MOV RBP,RSP
00102689,JZ 0x00102697
0010268b,MOV RDI,qword ptr [0x00117008]
00102692,CALL 0x00102310
00102697,CALL 0x00102600
0010269c,MOV byte ptr [0x00117328],0x1
001026a3,POP RBP
001026a4,RET
001026a8,RET
001026b0,ENDBR64
001026b4,JMP 0x00102630
001026c0,ENDBR64
001026c4,PUSH RBP
001026c5,PUSH RBX
001026c6,SUB RSP,0x8
001026ca,CALL 0x00102090
001026cf,MOV EDX,0x1f
001026d4,MOV EDI,0x1
001026d9,LEA RSI,[0x10f008]
001026e0,MOV EBP,dword ptr [RAX]
001026e2,MOV RBX,RAX
001026e5,CALL 0x001020f0
001026ea,LEA RSI,[0x1026c0]
001026f1,MOV EDI,0x2
001026f6,CALL 0x001021c0
001026fb,MOV dword ptr [RBX],EBP
001026fd,ADD RSP,0x8
00102701,POP RBX
00102702,POP RBP
00102703,RET
00102710,PUSH R15
00102712,LEA R15,[0x10f0f8]
00102719,PUSH R14
0010271b,PUSH R13
0010271d,LEA R13,[0x117020]
00102724,PUSH R12
00102726,LEA R12,[0x1105f8]
0010272d,PUSH RBP
0010272e,MOV EBP,EDI
00102730,PUSH RBX
00102731,MOV RBX,RSI
00102734,SUB RSP,0x18
00102738,MOV RAX,qword ptr FS:[0x28]
00102741,MOV qword ptr [RSP + 0x8],RAX
00102746,XOR EAX,EAX
00102748,LEA R14,[RSP + 0x4]
0010274d,MOV dword ptr [0x001172f8],0x0
00102757,NOP word ptr [RAX + RAX*0x1]
00102760,MOV R8,R14
00102763,MOV RCX,R13
00102766,MOV RDX,R12
00102769,MOV RSI,RBX
0010276c,MOV EDI,EBP
0010276e,CALL 0x00102130
00102773,CMP EAX,-0x1
00102776,JZ 0x001028e0
0010277c,TEST EAX,EAX
0010277e,JZ 0x00102760
00102780,SUB EAX,0x63
00102783,CMP EAX,0x14
00102786,JA 0x001027a0
00102788,LEA RDX,[0x1110a4]
0010278f,MOVSXD RAX,dword ptr [RDX + RAX*0x4]
00102793,ADD RAX,RDX
00102796,JMP RAX
001027a0,LEA RAX,[0x10f138]
001027a7,MOV RDX,qword ptr [RBX]
001027aa,PUSH R15
001027ac,LEA R9,[0x10f028]
001027b3,PUSH RAX
001027b4,LEA RAX,[0x10f178]
001027bb,LEA R8,[0x10f068]
001027c2,MOV EDI,0x1
001027c7,PUSH RAX
001027c8,LEA RAX,[0x10f1b8]
001027cf,LEA RCX,[0x10f098]
001027d6,PUSH RAX
001027d7,LEA RSI,[0x10f0c8]
001027de,XOR EAX,EAX
001027e0,CALL 0x00102250
001027e5,ADD RSP,0x20
001027e9,MOV EDI,0x1
001027ee,CALL 0x0010b170
001027f3,JMP 0x00102760
00102800,MOV dword ptr [0x001174c0],0x1
0010280a,JMP 0x00102760
00102810,CALL 0x0010b1b0
00102815,XOR EDI,EDI
00102817,CALL 0x0010b170
0010281c,JMP 0x00102760
00102828,MOV dword ptr [0x001174bc],0x1
00102832,JMP 0x00102760
00102840,MOV dword ptr [0x001174b8],0x1
0010284a,JMP 0x00102760
00102850,MOV dword ptr [0x001174c4],0x1
0010285a,JMP 0x00102760
00102860,MOV byte ptr [0x001174cc],0x1
00102867,JMP 0x00102760
00102870,LEA RAX,[0x10f138]
00102877,MOV RDX,qword ptr [RBX]
0010287a,PUSH R15
0010287c,LEA R9,[0x10f028]
00102883,PUSH RAX
00102884,LEA RAX,[0x10f178]
0010288b,LEA R8,[0x10f068]
00102892,MOV EDI,0x1
00102897,PUSH RAX
00102898,LEA RAX,[0x10f1b8]
0010289f,LEA RCX,[0x10f098]
001028a6,PUSH RAX
001028a7,LEA RSI,[0x10f0c8]
001028ae,XOR EAX,EAX
001028b0,CALL 0x00102250
001028b5,ADD RSP,0x20
001028b9,XOR EDI,EDI
001028bb,CALL 0x0010b170
001028c0,JMP 0x00102760
001028c8,MOV dword ptr [0x001174c8],0x1
001028d2,JMP 0x00102760
001028e0,CMP EBP,dword ptr [0x001172f8]
001028e6,JG 0x00102908
001028e8,JMP 0x00102940
001028f0,MOV qword ptr [RCX + 0x8],RAX
001028f4,MOV qword ptr [0x00117330],RAX
001028fb,LEA EAX,[RDX + 0x1]
001028fe,MOV dword ptr [0x001172f8],EAX
00102904,CMP EAX,EBP
00102906,JGE 0x00102940
00102908,MOV EDI,0x10
0010290d,CALL 0x0010a350
00102912,MOVSXD RCX,dword ptr [0x001172f8]
00102919,MOV RDX,RCX
0010291c,MOV RCX,qword ptr [RBX + RCX*0x8]
00102920,MOV qword ptr [RAX + 0x8],0x0
00102928,MOV qword ptr [RAX],RCX
0010292b,MOV RCX,qword ptr [0x00117330]
00102932,TEST RCX,RCX
00102935,JNZ 0x001028f0
00102937,MOV qword ptr [0x001174b0],RAX
0010293e,JMP 0x001028f4
00102940,MOV RAX,qword ptr [RSP + 0x8]
00102945,SUB RAX,qword ptr FS:[0x28]
0010294e,JNZ 0x0010295f
00102950,ADD RSP,0x18
00102954,POP RBX
00102955,POP RBP
00102956,POP R12
00102958,POP R13
0010295a,POP R14
0010295c,POP R15
0010295e,RET
0010295f,CALL 0x00102120
00102970,ENDBR64
00102974,CMP byte ptr [0x001174a0],0x0
0010297b,MOV dword ptr [0x00117418],0x1
00102985,JNZ 0x00102a50
0010298b,MOV EAX,dword ptr [0x001174c4]
00102991,PUSH RBX
00102992,TEST EAX,EAX
00102994,JNZ 0x00102a08
00102996,MOV RAX,qword ptr [0x001174b0]
0010299d,TEST RAX,RAX
001029a0,JZ 0x00102aa0
001029a6,MOV RDI,qword ptr [RAX]
001029a9,LEA RSI,[0x110fd2]
001029b0,CALL 0x00102270
001029b5,MOV RBX,RAX
001029b8,TEST RAX,RAX
001029bb,JZ 0x00102a69
001029c1,CMP byte ptr [0x00117338],0x0
001029c8,JZ 0x00102a58
001029ce,MOV RDI,qword ptr [0x001174b0]
001029d5,MOV qword ptr [0x00117370],RBX
001029dc,MOV byte ptr [0x00117338],0x0
001029e3,MOV RAX,qword ptr [RDI]
001029e6,MOV qword ptr [0x001174a8],RAX
001029ed,MOV RAX,qword ptr [RDI + 0x8]
001029f1,MOV qword ptr [0x001174b0],RAX
001029f8,CALL 0x00102050
001029fd,MOV EAX,0x1
00102a02,POP RBX
00102a03,RET
00102a08,CMP byte ptr [0x00117338],0x0
00102a0f,JNZ 0x00102ab8
00102a15,MOV RAX,qword ptr [0x001174b0]
00102a1c,TEST RAX,RAX
00102a1f,JNZ 0x001029a6
00102a21,MOV RBX,qword ptr [0x001172f0]
00102a28,MOV RDI,qword ptr [0x00117370]
00102a2f,CALL 0x00102100
00102a34,MOV qword ptr [0x00117370],RBX
00102a3b,MOV EAX,0x1
00102a40,POP RBX
00102a41,MOV byte ptr [0x00117338],0x0
00102a48,MOV byte ptr [0x001174a0],0x1
00102a4f,RET
00102a50,XOR EAX,EAX
00102a52,RET
00102a58,MOV RDI,qword ptr [0x00117370]
00102a5f,CALL 0x00102100
00102a64,JMP 0x001029ce
00102a69,MOV RAX,qword ptr [0x001174b0]
00102a70,MOV RDI,qword ptr [0x00117320]
00102a77,MOV ESI,0x1
00102a7c,LEA RDX,[0x110607]
00102a83,MOV RCX,qword ptr [RAX]
00102a86,XOR EAX,EAX
00102a88,CALL 0x001022c0
00102a8d,MOV EDI,0x1
00102a92,CALL 0x0010b170
00102a97,NOP word ptr [RAX + RAX*0x1]
00102aa0,CMP byte ptr [0x00117338],0x0
00102aa7,MOV RBX,qword ptr [0x001172f0]
00102aae,JNZ 0x00102a34
00102ab0,JMP 0x00102a28
00102ab8,LEA RDI,[0x110ac0]
00102abf,CALL 0x001022e0
00102ac4,MOV ESI,0x2
00102ac9,MOV RDI,RAX
00102acc,CALL 0x0010ac10
00102ad1,LEA RDI,[0x110601]
00102ad8,CALL 0x001022e0
00102add,MOV ESI,0x2
00102ae2,MOV RDI,RAX
00102ae5,CALL 0x0010ac10
00102aea,LEA RDI,[0x11100e]
00102af1,CALL 0x001022e0
00102af6,MOV ESI,0x2
00102afb,MOV RDI,RAX
00102afe,CALL 0x0010ac10
