Offset,Instruction
00102000,SUB RSP,0x8
00102004,MOV RAX,qword ptr [0x00109fe0]
0010200b,TEST RAX,RAX
0010200e,JZ 0x00102012
00102010,CALL RAX
00102012,ADD RSP,0x8
00102016,RET
00102020,PUSH qword ptr [0x00109e08]
00102026,JMP qword ptr [0x00109e10]
00102030,JMP qword ptr [0x00109e18]
00102036,PUSH 0x0
0010203b,JMP 0x00102020
00102040,JMP qword ptr [0x00109e20]
00102046,PUSH 0x1
0010204b,JMP 0x00102020
00102050,JMP qword ptr [0x00109e28]
00102056,PUSH 0x2
0010205b,JMP 0x00102020
00102060,JMP qword ptr [0x00109e30]
00102066,PUSH 0x3
0010206b,JMP 0x00102020
00102070,JMP qword ptr [0x00109e38]
00102076,PUSH 0x4
0010207b,JMP 0x00102020
00102080,JMP qword ptr [0x00109e40]
00102086,PUSH 0x5
0010208b,JMP 0x00102020
00102090,JMP qword ptr [0x00109e48]
00102096,PUSH 0x6
0010209b,JMP 0x00102020
001020a0,JMP qword ptr [0x00109e50]
001020a6,PUSH 0x7
001020ab,JMP 0x00102020
001020b0,JMP qword ptr [0x00109e58]
001020b6,PUSH 0x8
001020bb,JMP 0x00102020
001020c0,JMP qword ptr [0x00109e60]
001020c6,PUSH 0x9
001020cb,JMP 0x00102020
001020d0,JMP qword ptr [0x00109e68]
001020d6,PUSH 0xa
001020db,JMP 0x00102020
001020e0,JMP qword ptr [0x00109e70]
001020e6,PUSH 0xb
001020eb,JMP 0x00102020
001020f0,JMP qword ptr [0x00109e78]
001020f6,PUSH 0xc
001020fb,JMP 0x00102020
00102100,JMP qword ptr [0x00109e80]
00102106,PUSH 0xd
0010210b,JMP 0x00102020
00102110,JMP qword ptr [0x00109e88]
00102116,PUSH 0xe
0010211b,JMP 0x00102020
00102120,JMP qword ptr [0x00109e90]
00102126,PUSH 0xf
0010212b,JMP 0x00102020
00102130,JMP qword ptr [0x00109e98]
00102136,PUSH 0x10
0010213b,JMP 0x00102020
00102140,JMP qword ptr [0x00109ea0]
00102146,PUSH 0x11
0010214b,JMP 0x00102020
00102150,JMP qword ptr [0x00109ea8]
00102156,PUSH 0x12
0010215b,JMP 0x00102020
00102160,JMP qword ptr [0x00109eb0]
00102166,PUSH 0x13
0010216b,JMP 0x00102020
00102170,JMP qword ptr [0x00109eb8]
00102176,PUSH 0x14
0010217b,JMP 0x00102020
00102180,JMP qword ptr [0x00109ec0]
00102186,PUSH 0x15
0010218b,JMP 0x00102020
00102190,JMP qword ptr [0x00109ec8]
00102196,PUSH 0x16
0010219b,JMP 0x00102020
001021a0,JMP qword ptr [0x00109ed0]
001021a6,PUSH 0x17
001021ab,JMP 0x00102020
001021b0,JMP qword ptr [0x00109ed8]
001021b6,PUSH 0x18
001021bb,JMP 0x00102020
001021c0,JMP qword ptr [0x00109ee0]
001021c6,PUSH 0x19
001021cb,JMP 0x00102020
001021d0,JMP qword ptr [0x00109ee8]
001021d6,PUSH 0x1a
001021db,JMP 0x00102020
001021e0,JMP qword ptr [0x00109ef0]
001021e6,PUSH 0x1b
001021eb,JMP 0x00102020
001021f0,JMP qword ptr [0x00109ef8]
001021f6,PUSH 0x1c
001021fb,JMP 0x00102020
00102200,JMP qword ptr [0x00109f00]
00102206,PUSH 0x1d
0010220b,JMP 0x00102020
00102210,JMP qword ptr [0x00109f08]
00102216,PUSH 0x1e
0010221b,JMP 0x00102020
00102220,JMP qword ptr [0x00109f10]
00102226,PUSH 0x1f
0010222b,JMP 0x00102020
00102230,JMP qword ptr [0x00109f18]
00102236,PUSH 0x20
0010223b,JMP 0x00102020
00102240,JMP qword ptr [0x00109f20]
00102246,PUSH 0x21
0010224b,JMP 0x00102020
00102250,JMP qword ptr [0x00109f28]
00102256,PUSH 0x22
0010225b,JMP 0x00102020
00102260,JMP qword ptr [0x00109f30]
00102266,PUSH 0x23
0010226b,JMP 0x00102020
00102270,JMP qword ptr [0x00109f38]
00102276,PUSH 0x24
0010227b,JMP 0x00102020
00102280,JMP qword ptr [0x00109f40]
00102286,PUSH 0x25
0010228b,JMP 0x00102020
00102290,JMP qword ptr [0x00109f48]
00102296,PUSH 0x26
0010229b,JMP 0x00102020
001022a0,JMP qword ptr [0x00109f50]
001022a6,PUSH 0x27
001022ab,JMP 0x00102020
001022b0,JMP qword ptr [0x00109f58]
001022b6,PUSH 0x28
001022bb,JMP 0x00102020
001022c0,JMP qword ptr [0x00109f60]
001022c6,PUSH 0x29
001022cb,JMP 0x00102020
001022d0,JMP qword ptr [0x00109f68]
001022d6,PUSH 0x2a
001022db,JMP 0x00102020
001022e0,JMP qword ptr [0x00109f70]
001022e6,PUSH 0x2b
001022eb,JMP 0x00102020
001022f0,JMP qword ptr [0x00109f78]
001022f6,PUSH 0x2c
001022fb,JMP 0x00102020
00102300,JMP qword ptr [0x00109f80]
00102306,PUSH 0x2d
0010230b,JMP 0x00102020
00102310,JMP qword ptr [0x00109f88]
00102316,PUSH 0x2e
0010231b,JMP 0x00102020
00102320,JMP qword ptr [0x00109f90]
00102326,PUSH 0x2f
0010232b,JMP 0x00102020
00102330,JMP qword ptr [0x00109f98]
00102336,PUSH 0x30
0010233b,JMP 0x00102020
00102340,JMP qword ptr [0x00109fa0]
00102346,PUSH 0x31
0010234b,JMP 0x00102020
00102350,JMP qword ptr [0x00109fa8]
00102356,PUSH 0x32
0010235b,JMP 0x00102020
00102360,JMP qword ptr [0x00109fb0]
00102366,PUSH 0x33
0010236b,JMP 0x00102020
00102370,JMP qword ptr [0x00109fb8]
00102376,PUSH 0x34
0010237b,JMP 0x00102020
00102380,JMP qword ptr [0x00109fc0]
00102386,PUSH 0x35
0010238b,JMP 0x00102020
00102390,JMP qword ptr [0x00109ff0]
001023a0,ENDBR64
001023a4,PUSH R15
001023a6,PUSH R14
001023a8,PUSH R13
001023aa,PUSH R12
001023ac,MOV R12D,EDI
001023af,PUSH RBP
001023b0,PUSH RBX
001023b1,SUB RSP,0xa8
001023b8,MOV RDI,qword ptr [0x00109fd8]
001023bf,MOV RBP,qword ptr FS:[0x28]
001023c8,MOV qword ptr [RSP + 0x98],RBP
001023d0,MOV RBP,RSI
001023d3,CALL 0x001021b0
001023d8,PXOR XMM0,XMM0
001023dc,MOV dword ptr [0x0010a0e0],0x0
001023e6,MOV qword ptr [0x0010a098],0x0
001023f1,MOV qword ptr [0x0010a0a0],0x0
001023fc,MOVAPS xmmword ptr [0x0010a0d0],XMM0
00102403,TEST R12D,R12D
00102406,JZ 0x00102418
00102408,MOV RAX,qword ptr [RBP]
0010240c,TEST RAX,RAX
0010240f,JZ 0x00102418
00102411,MOV qword ptr [0x0010a010],RAX
00102418,MOV RCX,qword ptr [0x0010a010]
0010241f,MOV RDI,qword ptr [0x0010a080]
00102426,XOR EAX,EAX
00102428,LEA R8,[0x107293]
0010242f,LEA RDX,[0x10729d]
00102436,MOV ESI,0x1
0010243b,LEA R14,[0x109ac0]
00102442,CALL 0x00102320
00102447,LEA R13,[0x1072dc]
0010244e,LEA RBX,[0x107690]
00102455,NOP dword ptr CS:[RAX + RAX*0x1]
00102460,XOR R8D,R8D
00102463,MOV RCX,R14
00102466,MOV RDX,R13
00102469,MOV RSI,RBP
0010246c,MOV EDI,R12D
0010246f,CALL 0x00102100
00102474,CMP EAX,-0x1
00102477,JZ 0x001025eb
0010247d,SUB EAX,0x4e
00102480,CMP EAX,0x28
00102483,JA 0x001029aa
00102489,MOVSXD RAX,dword ptr [RBX + RAX*0x4]
0010248d,ADD RAX,RBX
00102490,JMP RAX
00102498,MOV EDI,0x10
0010249d,ADD dword ptr [0x0010a0dc],0x1
001024a4,CALL 0x00102360
001024a9,JMP 0x00102460
001024b0,MOV dword ptr [0x0010a0d8],0x1
001024ba,MOV EDI,0x4
001024bf,CALL 0x00102180
001024c4,JMP 0x00102460
001024d0,MOVSXD RAX,dword ptr [0x0010a050]
001024d7,MOV RDI,qword ptr [RBP + RAX*0x8 + -0x8]
001024dc,CALL 0x00103880
001024e1,MOV R15,RAX
001024e4,TEST RAX,RAX
001024e7,JS 0x001025d1
001024ed,MOV RAX,0x7fffffffffffffff
001024f7,CMP R15,RAX
001024fa,JZ 0x001025c3
00102500,MOV qword ptr [0x0010a0a0],R15
00102507,JMP 0x00102460
00102510,MOV dword ptr [0x0010a0d4],0x1
0010251a,JMP 0x00102460
00102520,MOVSXD RAX,dword ptr [0x0010a050]
00102527,MOV RDI,qword ptr [RBP + RAX*0x8 + -0x8]
0010252c,CALL 0x00103880
00102531,MOV R15,RAX
00102534,TEST RAX,RAX
00102537,JLE 0x001025a9
00102539,MOV RAX,0x7fffffffffffffff
00102543,CMP R15,RAX
00102546,JZ 0x0010259f
00102548,MOV qword ptr [0x0010a098],R15
0010254f,JMP 0x00102460
00102558,MOV dword ptr [0x0010a0e0],0x1
00102562,JMP 0x00102460
00102570,MOV RDI,qword ptr [0x0010a028]
00102577,MOV RSI,qword ptr [0x0010a080]
0010257e,CALL 0x00102160
00102583,XOR EDI,EDI
00102585,CALL 0x00102300
00102590,MOV dword ptr [0x0010a0d0],0x1
0010259a,JMP 0x00102460
0010259f,CALL 0x00102090
001025a4,CMP dword ptr [RAX],0x22
001025a7,JNZ 0x00102548
001025a9,MOVSXD RAX,dword ptr [0x0010a050]
001025b0,LEA RDI,[0x1072b2]
001025b7,MOV RSI,qword ptr [RBP + RAX*0x8 + -0x8]
001025bc,XOR EAX,EAX
001025be,CALL 0x00103660
001025c3,CALL 0x00102090
001025c8,CMP dword ptr [RAX],0x22
001025cb,JNZ 0x00102500
001025d1,MOVSXD RAX,dword ptr [0x0010a050]
001025d8,LEA RDI,[0x1072c7]
001025df,MOV RSI,qword ptr [RBP + RAX*0x8 + -0x8]
001025e4,XOR EAX,EAX
001025e6,CALL 0x00103660
001025eb,MOV RAX,qword ptr [0x0010a098]
001025f2,TEST RAX,RAX
001025f5,JZ 0x001033d2
001025fb,PUSH RAX
001025fc,LEA RBX,[0x107283]
00102603,XOR R8D,R8D
00102606,MOV ECX,0x10
0010260b,PUSH RAX
0010260c,LEA R13,[0x1077d8]
00102613,MOV EDX,0x14b
00102618,MOV RSI,RBX
0010261b,LEA R9,[0x107303]
00102622,MOV RDI,R13
00102625,XOR EAX,EAX
00102627,CALL 0x00102060
0010262c,XOR R8D,R8D
0010262f,MOV ECX,0x10
00102634,MOV RSI,RBX
00102637,MOV RAX,qword ptr [0x0010a0a0]
0010263e,LEA R9,[0x10731b]
00102645,MOV EDX,0x14d
0010264a,MOV RDI,R13
0010264d,PUSH RAX
0010264e,PUSH RAX
0010264f,XOR EAX,EAX
00102651,CALL 0x00102060
00102656,ADD RSP,0x20
0010265a,CMP R12D,dword ptr [0x0010a050]
00102661,JZ 0x001029aa
00102667,CMP dword ptr [0x0010a0dc],0x1
0010266e,JLE 0x0010267a
00102670,MOV EDI,0x17
00102675,CALL 0x00102360
0010267a,MOVSXD RAX,dword ptr [0x0010a050]
00102681,XOR R8D,R8D
00102684,MOV RSI,RBX
00102687,MOV RDI,R13
0010268a,MOV ECX,0x10
0010268f,LEA R9,[0x107333]
00102696,LEA EDX,[RAX + 0x1]
00102699,MOV RAX,qword ptr [RBP + RAX*0x8]
0010269e,PUSH R15
001026a0,MOV dword ptr [0x0010a050],EDX
001026a6,MOV EDX,0x159
001026ab,PUSH RAX
001026ac,MOV qword ptr [0x0010a0c8],RAX
001026b3,XOR EAX,EAX
001026b5,CALL 0x00102060
001026ba,MOVSXD RAX,dword ptr [0x0010a050]
001026c1,POP RDX
001026c2,POP RCX
001026c3,CMP R12D,EAX
001026c6,JZ 0x001029aa
001026cc,LEA EDX,[RAX + 0x1]
001026cf,MOV RAX,qword ptr [RBP + RAX*0x8]
001026d4,PUSH R10
001026d6,XOR R8D,R8D
001026d9,MOV dword ptr [0x0010a050],EDX
001026df,LEA R9,[0x107345]
001026e6,MOV RSI,RBX
001026e9,MOV RDI,R13
001026ec,PUSH RAX
001026ed,MOV ECX,0x10
001026f2,MOV EDX,0x160
001026f7,MOV qword ptr [0x0010a0c0],RAX
001026fe,XOR EAX,EAX
00102700,CALL 0x00102060
00102705,MOVSXD RAX,dword ptr [0x0010a050]
0010270c,POP R11
0010270e,POP R14
00102710,CMP R12D,EAX
00102713,JNZ 0x001028df
00102719,LEA RBP,[0x10a048]
00102720,XOR R9D,R9D
00102723,MOV dword ptr [0x0010a0b8],0x80
0010272d,LEA R14,[RSP + 0x90]
00102735,MOV qword ptr [0x0010a0b0],RBP
0010273c,MOV dword ptr [0x0010a0a8],R9D
00102743,MOV EAX,dword ptr [0x0010a0b8]
00102749,PUSH RCX
0010274a,XOR R8D,R8D
0010274d,MOV RSI,RBX
00102750,MOV RDI,R13
00102753,MOV ECX,0x10
00102758,MOV EDX,0x186
0010275d,PUSH RAX
0010275e,LEA R9,[0x107357]
00102765,XOR EAX,EAX
00102767,CALL 0x00102060
0010276c,CMP qword ptr [0x0010a0b0],RBP
00102773,POP RSI
00102774,POP RDI
00102775,JZ 0x00102b34
0010277b,MOV EAX,dword ptr [0x0010a0a8]
00102781,XOR R8D,R8D
00102784,MOV RSI,RBX
00102787,MOV RDI,R13
0010278a,MOV EDX,0x18b
0010278f,LEA R9,[0x106370]
00102796,MOV ECX,0x10
0010279b,PUSH RAX
0010279c,XOR EAX,EAX
0010279e,PUSH qword ptr [RSP + 0x98]
001027a5,CALL 0x00102060
001027aa,POP RAX
001027ab,POP RDX
001027ac,CALL 0x00103aa0
001027b1,MOV RDI,qword ptr [0x0010a0c8]
001027b8,MOV RSI,R14
001027bb,CALL 0x00102130
001027c0,TEST EAX,EAX
001027c2,JNZ 0x001029f3
001027c8,TEST byte ptr [RSP + 0x90],0x1
001027d0,JNZ 0x00102b5a
001027d6,CMP dword ptr [0x0010a0d0],0x0
001027dd,JNZ 0x00102a6c
001027e3,XOR ESI,ESI
001027e5,CMP dword ptr [0x0010a0e0],0x0
001027ec,SETNZ SIL
001027f0,SHL RSI,0x1c
001027f4,MOV RDI,qword ptr [0x0010a0c8]
